artist,song_title,lyrics_clean_ascii,mood
Sezen Aksu,Aldatıldık,bize neler neler ogrettiler sevdalar ustune aldatildik aldatildik sevda boyle degil ne masallar ninniler soylediler dunya ustune dunya boyle degil ufalana ufalana kac kusak eridik bu yollarda kimimiz yerle yeksan kimimiz zor ayakta kolu kanadi kirik kuslar gibiyiz ayri diyarlarda bize saadet nasip simdi ucuk ruyalarda,
Sezen Aksu,Alev Alev,ellerin ne kadar sicak tipki ates gibi bakislarin ne kadar yumusak tipki dogan gunes gibi alev alev yaniyor sevginle kalbimin her kosesi yuregim cirpinan bir kus sanki sanki bir ask bestesi fisildiyor kulagima gozlerin ne kadar guzel bak gozlerimin icine o en en tatli sesinle bana guzel bir sey soyle oyle oyle mutluyum ki ah delicesine bir colde yapayalniz kaybolmus kosuyorum sesine,
Sezen Aksu,Ali,namluna dayanir yola dalarsin durusun bakisin yaman be ali bosuna tetigi ne kurcalarsin var daha atese zaman be ali yillanmis bir cinar pusuluk yerin ner'deyse gelecek beklediklerin var iki atli cani kederin desene isleri duman be ali onu sen buyut de sogut boyunca kendini ellere versin o gonca sozume kanmadin vurdu uyunca koylundu gozunu yuman be ali geldiler beklenen ciftler ormana duruyor iki genc ne hos yan yana bir kursun kadina bir de cobana i̇nlesin orman be yillarca ali gorunce uzanmis yâr kucagina boynunu dolamis zulfu bagina kursunu kahpeye atacagina kendine cevirdin aman be ali kendine cevirdin aman be ali ali,
Sezen Aksu,Allahaısmarladık,yillar yili sevistik de neden mutlu olmadik askimiza ask degil yillarca yalan kattik sana son bir sozum var o da allaha ismarladik bir dunya ki temelinin her tasinda yalan var disi parlak ici bombos yeminler neye yarar daldigimiz ruyadan yillardir uyanmadik degil iki sevgili dost bile olamadik dugumlendi kalbimde gomuldu ilk hickirik lalalayla laylayla lalalay lalalaylaylalala lalalay lalalaylayla lalalay lalaylayla lalalay lalalilaylalalaah lalali lalalilalalala lalali lalalilalalalaah lalali lalaylaylaah lalali lalalilalalala lalali lalalilalalalaah lalali lalalilalalalaah lalali lalaylayla mmhmmh mmhmmh,
Sezen Aksu,Allahaşkına,1 contributorallahaskina lyrics sen istedin diye degil seni sevdigim icin sen aldattin diye degil ben inandigim icin karsilik beklemeden sitem mitem etmeden razi olup herseye kapris mapris demeden sabah aksam gece gunduz hic sikayet etmeden kulun oldum kolen oldum hic basina kakmadan of yeter artik biktim senden cek git allah askina palavraya doydum artik atma allah askina palavraya doydum artik atma allahaskina gozlеrim gormezdi asla senden baska birini dusuncеmde bile yasadigim senin sevgindi dir dir vir vir etmeden herseye ragmen kusmeden capkinliklarina bile sesimi cikarmadan aylar yillar gunler gecti rengim ruhsarim soldu deger miydi senin icin ah gencligim mahvoldu laylalaylay laylalaylay laylararararara laylalaylay laylalaylay laylararalaylayla,
Sezen Aksu,Allah’ın Varsa,yaz bitti yine mevsim sonbahar kim bekler kim ceker bu kadar sofrandaki kirintilar kadar bile mi olamadim allah'in varsa bu aksam adres defterinde s harfinin oldugu yerde bulup ya ciz ya yak adimi ya da sessizlik koy yerine allahin varsa vicdansiz ruyama sarkima siirime girdin sanki kendi bahcelerin misali arsiz be vefasiz sana martilar getirdim kanatlarim var beyaz ama acimiyor yuregim elde sazlar sari yazlar oglanlar kizlar yudumlanir salkim golgelerinde nagmeler nazlar sahit yildizlar dogur dedin bana kurabiye gibi cocuklar gittigin o gece ardindan i̇ki kadin uyanip aglayacak biri annen digeri ben benim biraz ahim kalacak oglanlar kizlar,
Sezen Aksu,Anadilim Aşk,o bir yalniz o bir kendine has onlenemez durdurulamaz o hepimizin efendisi elinden kalbi olanlar kurtulamaz o bir ozgur o bir kahraman dun bugun yarin her zaman o bir kural yikici yasak delici onun adi ask gerisi yalan yan sevmedigine yan yazik onca zaman isyan isyan oyalama kendini sen bittin teslim bayragini cektin ey kalbim askina saglik anadilimi bana sen ogrettin cabalama bosuna hic mumkunu yok sen onu islah edemezsin o bir bohem o bir isyankar onu ehlilestiremezsin provasi yok antresi ani yazip bozup temize cekemezsin o bir kacik o bir utanmaz asla kontrol edemezsin,
Sezen Aksu,Anlasana,cok tatsiz sikici bir gunun sonuydu muzmin bir kentli kadin bunalimiydi her sey ayni sanki fotokopi derken kalbim pera'da vuruldu ben o an aktim sana tadini tuzunu tattim tekinsiz caddelerde geceyi gunduze kattim art arda isiklandi parklar meydanlar aydinlandi agzina dolanayim sevda yeniden ayaklandi yaniyorum anlasana oluyorum anlasana beni bu yasaktan uzaktan cekip alsana sen oyle sussuz cabasiz ve adsiz kendinleyken saplandin ruhuma dedim vurgun bu i̇lk goruste ask butun kalbimle minnettarim sansima,
Sezen Aksu,“Arkadaş” Şarkısını Duyunca,cok zamandan beri eski dostlar birbirini aramaz oldu aramiza hayat girdi yillar bize yaramaz oldu aglarim aglarim geceler boyunca anilar dalga dalga sahilime vurunca bir selâm gelince selâ verilince aglarim arkadas sarkisini duyunca bir yanagi oksayan kader digerine bin tokat vurdu bildigim kadar degilmis meger dunya bize hep oyun kurdu x2,
Sezen Aksu,Arka Sokaklar,dogrusu ben seni pek fazla tanimiyorum i̇cgudusel olarak kendimi savunuyorum dolayisiyla bilemiyorum x2 arka sokaklarda neler oluyor sen beni istersen cok rahat kandirabilirsin kendini sahane bir sey sandirabilirsin zorlama guzelim zorlama kendiliginden olmali davul dedigin davulcusuyla musemma horlama ezigiyiz dogustan sende erkeklik sir bende kadinlik muamma x4 x6,
Sezen Aksu,Aşk,bak yagiyor yagmur her damlada gozlerin bak esiyor ruzgar ruzgar dedigim de sensin bak simsicak gunes sevginle isindi icim sen vazgecemedigim yanimda bile hasretimsin ​gunes dogarken cicek acarken ve hayat gecerken ben seninleyim bir gun olur ayrilik kapimi calarsa senle yasanan zaman yeter bana,
Sezen Aksu,Aşka Şükrederim,her gece yatagimda aklimda neler neler ne kadar cok aci var allahim berbat yine haberler ne olur kuvvet ver anlamam icin ipucu ne ilim yetiyor ne film yine mi ters acida mars'la jupiter x2 doluya koy bosa koy sabahlara kadar kan ter yut haplari oku kitaplari geldik gidiyoruz bîhaber ben bu yuzden aska sukrederim o beni onarir hep bir tek o ayirmiyor insani insandan olene dek aglarim seve seve i̇nlerim seve seve yeter ki ask olsun katlanirim her seye seve seve,
Sezen Aksu,Aşkları da Vururlar,gel bana kalbini goster ne olur sen degilsin bu sudaki aksin hadi gel kader degil bu hepimize ogretilmis ofkeler ne olur teslim olma gel bu kizgin bu kalp kiran eller bir zaman bebektiler hadi gel aslini goster suretin cok zalim cok mu uzduler seni sahiplenme senin degil bu dikenler sozlerin hancer yareler gulum sur gozlerinin namlusuna sur beni asktan olsun olumum yareler acar yareler gulum asklari da vururlar sarkiya siir olur adanir sonsuz anisina kanayan sevdanin eyvah siirler azalmis gunumuz perisan yaniyor icimizdeki koskoca orman aman,
Sezen Aksu,Aşktan Ne Haber,ac kalbini ben geldim siki siki tut birakma zar zor yiktim duvarlarimi kiymetini bil uzatma bak yaldizlarimi doktum actim kapilarimi gir iceri gor parklarimi bahcelerimi anla ben buyuk harflerden urktum ben anlamam toptan tufekten ben anlamam tastan yurekten anlamam akintiya kurekten bunlari bos ver ne haber asktan gozlerinin arkasini sozlerinin alt yazisini kalp diline cevirdim coktan okudum ozgurce acisini,
Sezen Aksu,Avcı,sen beni uzemezsin zaten cok uzgunum nereye baksam aci ben avim sen avci vur bakalim sen beni sezemezsin dilimi ezemezsin nereye baksam aci nereye baksam aci kim yolcu kim hanci dur bakalim… beni olduremezsin sesim sazim sozum var benim ben derken ben herkesim,
Sezen Aksu,Ayar,ya bizdensin ya da onlardan hadi bu kopruyu gec bakalim ya dostsun ya da dusman hadi sifatini sec bakalim ya siyahsin ya da beyaz ya hep ya hic oyle yok biraz ya hasim ya hisim a cileli basim sen kinali kuzu ben suzme kaz x2 ooo yandik desene tam topun agzinda durduk desene bi' o yana bi' bu yana savururlar ote yana soz ile uslanmayana ayar yapalim benim hâlâ umudum var boyle diyor sûfi mazhar ben mazhar'dan yanayim kaynasiriz azar azar olmasa da tek tabancayiz olum var yalnizlik ne yazar daha karpuz keseceydik vallahi billahi hep nazar burasi agora meyhanesi degil acikhava timarhanesi beser bu sasar cizmeyi asar varsa bi' matbu bahanesi,
Sezen Aksu,Ayışığı,buralarda artik parlamiyor ayisigi gunesimize kar yagdi gidenlerden haber yok yasaksiz asklar yabanci asina tuzak savaslar uzerimize ortulunce lacivert aksamlar sen sec artik sen sec artik ooy oy ooy oy ne sarki ne ayisigi ooy oy ooy oy ne olum kalim ne genclik cagim darmadagin bir atimlik umudum kaldi,
Sezen Aksu,Aykırı Çiçek,bu sehrin sokaklarinda taslarinda eskidi gencligim kaldirimlar arasinda aykiri acan cicektim gectim bazen huzzam makaminda gectim 9&8 agir roman simdi sade kahve kivaminda her sey eksik her sey tamam kim bilebilir kimin halini dil soylemez yuregin harbini i̇c hisseder hakikat sirrini agirdan al yargini yar aman sesimi suya biraktim nefesimi semaya i̇cine her seyi kattim sarkilar benzer duaya sana benzemiyorum hic benzetmeye calisma ya oldugum gibi sev ya kus bi daha da barisma,
Sezen Aksu,Aynalar,haksýzlýk bu gecen yýllar gonlum cok genc bedenim yaþlý haksýzlýk bu eskiyen yuz bana hâlâ cok uzak guz aynalar durun yalancý aynalar deðiþmeyin biraz daha zaman verin bu ben deðilim bu yabancý haksýzlýk bu vakit cok erken aþka hâlâ doymadým ben haksýzlýk bu,
Sezen Aksu,Ayrılıklar Bitmez,gun agrinca kalkamaz birden o yattigi sert kuru yerinden bir bas agrisi ense kokunden acir kendine baslar yeniden her kadehte bin isyan sahlanir bir isim bir ask daha silinir yine gonlunden her tuketilmis sarhos geceden tek sey animsar eski gunlerden bir cift mahsun goz uysal huzunlu biraz kaderci urkek cekingen her an kosardi cani yurekte ne zaman isteyip arasa en uzak yerlerden ve ayriliklar bitmez ogutur ve golgeler siner omrune kacar kendinden yillardan beri hep o hayali tasir sirtinda bir yuk misali sarar pismanlik soyle inceden yorgun utancli baslar yeniden bir isim bir ask daha silinir yarali gonlunden,
Sezen Aksu,Baba Evi,baba evindeyim bugun tepemde dolunay nasil doluyum birikmis yalnizliklar ayin umrunda mi cama vurmus savki adamin biri de tutturmus damar bir sarki belki artik kavusmak hayâl belki beni coktan sildin oldursen iflah olmaz gecmiyor senden umidim canimdan can gitti gel hasretin eritti anladim ki cok muhabbet ayrilik getirdi calsan bir aksam ustu kapimi yeniden ben de sana tavsan kani bir cay demlesem desem ki pismanim perisanim sen de bir buyukluk gostersen de hos gorsen belki sarisiriz aniden belki tanisiriz yeniden uzun uzun konusup sonra anlasiriz tan agarirken x2,
Sezen Aksu,Bahane,bahaneydi bu ruzgâr gunes bal ve kehribar bahaneydi buzdan kanat erimezse kirilacak canim dostum sirdasim aynaya baktim yuzunu unuttukca gelmis bulundum kalmis bulundum bu dag bur'da durdukca bahaneydi,
Sezen Aksu,Ballı,dun gece ner'deydin sorsam soyler miydin kimbilir kimleydin soralim o zaman bekle allah bekle bir suru laf dinle gulesim geldi yine gulelim o zaman kalbimde dovmeler gozumde golgeler defolu iliskiler gormezden gelmeler sineye cekmeler dilimde sovmeler of nereye kadar hem zaten hafiften bozuluyordum zaten bastan karaya vurmustum zaten kaptirmis gidiyordum zaten kalk bak kapi tam suradan hadi yaylan buradan git bak gordun deli don geri seni balli seni mm seni balli seni asil sorun sur'da ne isin var bur'da i̇stersen hic durma kara tam suradan her sey bi' deneyim ben de bi' dene'yim seni bir gondereyim denerim o zaman,
Sezen Aksu,Bazen,yanardag mi icimdeki alevlenir soner nedir bu ofkeli saplantilar gelir gelir gider bazen bir duygu beni gokyuzune ceker bazen bir tutku gelir toprakla bir eder bu karmasanin adi nedir dugumlenir cozdukce yalanlar mi gizlidir yoksa gerceklerin icinde bazen bu duygu beni gokyuzune ceker bu karanlik sonsuzlugun yolu ner'de kim bilir zaman derin bir kuyu sanki kaybolasim gelir,
Sezen Aksu,Bazen [2002 Versiyon],1 contributorbazen lyrics yanardag mi icimdeki alevlenir soner nedir bu ofkeli saplantilar gelir gelir gider bazen bir duygu beni gokyuzune ceker bazen bir tutku gelir toprakla bir eder bu karmasanin adi nedir dugumlenir cozdukce yalanlar mi gizlidir yoksa gerceklerin icinde bazen bu duygu beni gokyuzune ceker nedir bu ofkeli saplantilar gelir gelir gidеr bu karanlik sonsuzlugun yolu ner'de kim bilir zaman derin bir kuyu sanki kaybolasim gеlir,
Sezen Aksu,Begonvil,begonvil boy vermistir simdi yasemen basmistir bodrum'u kokusu geldi ruzgârin bir kelebek optu boynumu sen simdi gerdanini maviye gogsunu bir yelkenliye gonlunu ilk onune cikan yaz seferine baglamissindir ah vurunca dibine sakiz rakisinin biraz da aglamissindir x2 benim yerime de sev bekletme hayati bu kadarina raziysan yasa gitsin kac kisiyiz savunan sevdayi gozume ilk damlasi dustu gelecek sonbaharin yeni bir sayfanin oncusu bakalim ne hediyesi zamanin,
Sezen Aksu,Bekle,bekle… donusu vardir zor surgunlerin de bekle…hatirla bizi dar gunlerinde telli turnalar gibi cifte kumrular gibi sarisip bir sedir agaci golgesinde bahari selamlayip i̇ki cift kelamlayip gamsiz gunler geceler oncesinde biz gulleri severdik dikenleriyle koklardik kanayana dek ellerimiz gul dikensiz olur mu ah etmezdik bekle… bekle… hic pes eder miyiz bir nasihat gibi bu sancili hasret miadini doldurup biter bir gun karanlik aydinliga kavusur elbet siz o gun bayrami kutlamayi gorun sicacik bir haziran sabahinda isitip sol yanini yataginda,
Sezen Aksu,Bekleyelim de Görelim,bekleyelim de gorelim bakalim once kim kimi unutacak dilersen anilari yakalim o zaman yerine ani yapilacak ama bana kalirsa yazik olur kaybetmek kolay kazanmak zor yine de sen bilirsin buyur sec teklif var israr yok haydi yine ari gibi calis gonlum bitip baslamaya alis onun daha cok yolu var sen yine zamanla yaris birileri yolda kalir birileri yol alir kanun bu her insan kaderiyle gelir dunyaya malum bu,
Sezen Aksu,Belalım,ucurum ucurum gozlerine baktigim sensin prangalarca boynuma taktigim sensin dag golleri gibi gibi hasret cektigim her gece uyku diye yattigim sensin yanarim yanarim tutusur yanarim kavurur atesim seni de beni de belalim ah belalim gun degmemis ormanlarda yittigim sensin omrume omur diye kattigim sensin deli deli boranlarda ac denizlerde teninin tuzunu canim tattigim sensin damga damga gogsume vurdugum sensin ofke dolu sehirlerde buldugum sensin yer nerede gok nerede ben neredeyim diye diye sinirlara geldigim sensin,
Sezen Aksu,Belki de Aşk Lazım Değildir,opeyim de gecsin mi aciyor mu cok kesilen yer bilirim ah ne huzundur terim tuzundur bi' izin ver tanidim yarandan ayni silahti beni vuran affettim vurulurken o daha fazla oldu benden belki de ask lazim degildir sicacik bir el yeter kimse olmez asktan masktan oyle gelir oyle gelir ben sana bir dal olurum sen ari ol ben bal olurum benim sende yuregim var bir bakarsin yâr olurum tanidim durusundan guclendirir ya oldurmeyen ve icini disina bir daha da hic bildirmeyen,
Sezen Aksu,Ben Annemi İsterim,gelinum aglaur yasli yasli kitmam der auhhyh sallar basin aglama kelinum oglum oy kinan kutli olsun kelinum pindugun at tehli olsun dagda belimde odun beni ne hâle kodun tarlada irgat avrat hanede hazir hatun bir usak gobegimde altisi etegimde yedi bitirdi beni anandaki o cene x2 dunyanin gailesi yetmezmis gibi bir de el ayak cekilince sen bitersin dibimde uy calsin kemenceler de ben bir horon tepeyim catlasin kaynimgiller bari kurtlarim dokeyim findigi ben toplarim kirmasi sana duser uy ellerin iyisi geh geh gerinip siser usudum senden baba ocagi gozumde tuter uy adaletsiz dunya gucun hep bize mi yeter bir bezden bebem vardi bohcamda hayallerim kizligim yarim kaldi ben annemi isterim x4,
Sezen Aksu,Ben de Yoluma Giderim,peki nasil istersen oyle olsun tutamam tutamam gideni belli ki kirmak istemiyorsun kalbimi kiyamam bir de kiyamam iyi mi giden gitmistir zaten kesemem kesemem yolunu hani satin alinan sevgiye alistirilmis bi' cocugun her oyuncaga cabucak doyumu ben de yoluma giderim ezdirmem kendimi ama gezdirmem de gonlumu gider acimi cekerim beni ozle isterim beni cok ozle uzul uzul bi' sure en azindan ince bi' kabuk baglasin azicik esitlik saglasin giden gitmistir zaten kesemem kesemem yolunu hani satin alinan sevgiye alistirilmis bi' cocugun her oyuncaga cabucak doyumu,
Sezen Aksu,Ben Dul Bir Kadınım,ben dul bir kadinim oyle her istedigimle beraber olamam canimin istedigince gezip tozamam bir kiz arkadasimla bi' yere gitsem bi' erkege kazara gulerek selam versem ya da biraz fazla giyinip suslensem dedikodu olur cunku dul bir kadinim bir gun yeniden birisini begenirsem beraber olursak bir kac kez yan yana gorulursem dedikodu carklari o an hizla calisir bakalim alir mi seni soylentisi dolasir erkegin ailesi adam akilli telaslanir ortalik bir karisir cunku dul bir kadinim bin turlu baskiyi omuzlarimda tasirim hakli ya da haksizmisim onemi yok bir kere bosanmisim benim de duygularim varmis bunlardan kime ne secme sansim yok boyun egdim kadere bana ben degil kurallar sahip cikar sayginligim baglidir daima bir erkege mmhmmh aahaah,
Sezen Aksu,Ben Her Bahar Aşık Olurum,damarlarimda yine ask var gozlerim yine bir manali basladi gunesli yagmurlar islandi umudumun saclari kirilan dallar gibiyim ben her bahar dirilirim gizli bir kaynaktir icim kendime bir yol bulurum ben her bahar âsik olurum ruzgâr olur yagmur olurum filizlenir anilarda gururum tasar icimden ruhum gonlumde sonen atesin kullerini savururum kalbimdeki acelenin pesinde ben kaybolurum,
Sezen Aksu,Beni Kategorize Etme,beni kategorize etme benle oynama yaftayi yapistirip bana isim koyma karikaturlestirme beni ilahlastirma tabulastirma sakin tapulastirma ben seni oyle sevdim oyle sevdim ben seni oyle sevdim boyle mi sevdim matematiklestirme beni carpma bolme toplama cikartma sakin beni hesaplastirma mekaniklestirme beni otomatiklestirme yaristirma sakin onla bunla karsilastirma sikistirip tikistirma beni depolastirma duygularim yok oldu yuregimi nasirlastirma beni demoralize etme depolitize etme her isten kacar oldum illegalize etme boyle mi sevdim boyle mi sevdim,
Sezen Aksu,Benim Karanlık Yanım,hicbiriniz bilmezsiniz gormezsiniz karanlik yanimi kac suctan cezadan sanik saklandigimi cok eski tarihlerden butun insanlik gunahlarini i̇slemisim hâlâ isliyorum kopara kopara canimi geldim defalarca gittim defalarca kac bahce kuruttum bilmem yuzlesmedim yillarca kiydim defalarca kirdim defalarca kac kalbi yordum kac aski vurdum ama mahvoldum unutulunca bak gozume gor kendini koyu kopkoyu asfalt rengini soyle neyi ariyorsun hangi tartiya gore dengini cennet de cehennem de melek de seytan da bende hadi bul bakalim goster bana farkimiz ner'de,
Sezen Aksu,Beni Unutma,bir gun daha yasandi ve bitti kucuk sevincleri ve kucuk kederleriyle herhangi bir gundu cok onemli degildi seni dusundugum birkac andan baska bilirim herkes payina duseni yasar ve her yeni gunde degisir hep bir seyler sen de kendi payindan bir hatira sec ne olur o ben olayim beni unutma beni unutma unutma beni unutma bilirsin unutulmak dokunur ya her insana sen de kendi payindan bir hatira sec ve o ben olayim unutma beni unutma bilir misin seni gercekten sevdim sevdigim daha bircok seyin arasinda bir tek seni sectim hatiralar arasinda sebep diye bir kucuk mutluluk,
Sezen Aksu,Beni Unutma [O Saatlerde Serpilir Gülüşün],1 contributorbeni unutma lyrics bir gun gelir de unuturmus insan en sevdigi anilari bile bari sen her gece yorgun sesiyle saat on ikiyi vurdugu zaman beni unutma o saatlerde serpilir gulusun bir avuc su gibi icime senin de basinda o cilgin ruzgar deli deli esiverirse bir gun buyuk acilarla tutustugum gun cok uzaklarda da olsan yine gel bu olurcesine sevdigine gel ne olur tanri'ya kavustugum gun,
Sezen Aksu,Ben Kedim Yatağım,ozledim koynunda uyanmayi yari baygin sabahlara hicbir sey dusunmeden konusmadan dalip gitmek uzaklara sonra dusmek olum gibi ucurumlara x3 ner'desin sesin ner'de kirpiginden dusen huzun hâlâ yerde hepsi bos kazanmalar basarmalar diledigim onaylanmalar yoksun hakliydi diyorum soranlara ve karanlik perde perde sonerken gun seferden donerken baslar ayni toren hayat biraktigi yerden tum hiziyla donerken ben onu seyrederken cikar gelir aksam ben kedim yatagim cok sikayetciyiz senden,
Sezen Aksu,Ben Öyle Birini Sevdim ki,ben oyle birini sevdim ki bali ve zehiri vardi kirpigine dustugum gun olumum basladi ofkeli hircin kavgaci isirgan ve edepsiz agzi geceler kadar karanlik gozleri vardi oyle uzak iki tutsak sevisirken aglardik uctan uca suctan suca seve seve yuvarlandik bir nevi intihardi yara bere icindeydi hala cesarete tapardi,
