artist,song_title,lyrics,mood,temiz_lyrics
Şebnem Ferah,Mayın Tarlası,"9 ContributorsMayın Tarlası Lyrics

Mayın tarlasında dolaşıp durmuşum, aşk sanıp da
Herkes arkamdan bağırmış, kimseyi duymamışım
Savaş filmlerinde olur ya, yaralı yaralı devam etmişim
Sonuna kadar aşk ya, yanımdasın sanmışım
Mayın tarlasında yürüyüp durmuşum, aşk sanıp da
Tel örgülerde durmamış, bi' delikten geçmişim
Her şey bana ""Dur"" demiş; kulağım darbe almış, duymamışım
Sonuna kadar aşk ya, sadece inanmışım

(Oh) Koşmuşum, düşmüşüm, kalkmışım
Sevişmek, sevmekten gelir, inanmışım
(Oh) Elimden tuttuğunda öyle bi' güvenmişim ki
Bize bi' şey olmaz sanmışım (Hep sanmışım)

Mayın tarlasında bir adam sevmişim, aşk sanıp da (Aşk sanıp da)
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça

Mayın tarlasında dolaşıp durmuşum, aşk sanıp da
Herkes arkamdan bağırmış, kimseyi duymamışım
Savaş filmlerinde olur ya, yaralı yaralı devam etmişim
Sonuna kadar aşk ya, yanımdasın sanmışım

(Oh) Koşmuşum, düşmüşüm, kalkmışım
Sevişmek, sevmekten gelir, inanmışım
(Oh) Elimden tuttuğunda öyle bi' güvenmişim ki
Bize bi' şey olmaz sanmışım (Hep sanmışım)

Mayın tarlasında bir adam sevmişim, aşk sanıp da
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında bir adam sevmişim, aşk sanıp da (Aşk sanıp da)
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça",üzgün,mayın tarlası mayın tarlasında dolaşıp durmuşum aşk sanıp herkes arkamdan bağırmış kimseyi duymamışım savaş filmlerinde olur yaralı yaralı devam etmişim sonuna kadar aşk yanımdasın sanmışım mayın tarlasında yürüyüp durmuşum aşk sanıp tel örgülerde durmamış bi delikten geçmişim bana dur demiş kulağım darbe almış duymamışım sonuna kadar aşk sadece inanmışım oh koşmuşum düşmüşüm kalkmışım sevişmek sevmekten gelir inanmışım oh elimden tuttuğunda öyle bi güvenmişim bize bi olmaz sanmışım sanmışım mayın tarlasında bir adam sevmişim aşk sanıp aşk sanıp soyunup korkusuzca çırılçıplak kalmışım aşk filmlerinde olur işte öyle sevmişim sonunda bedenim sağlam bulunmuş yüreğim paramparça mayın tarlasında dolaşıp durmuşum aşk sanıp herkes arkamdan bağırmış kimseyi duymamışım savaş filmlerinde olur yaralı yaralı devam etmişim sonuna kadar aşk yanımdasın sanmışım oh koşmuşum düşmüşüm kalkmışım sevişmek sevmekten gelir inanmışım oh elimden tuttuğunda öyle bi güvenmişim bize bi olmaz sanmışım sanmışım mayın tarlasında bir adam sevmişim aşk sanıp soyunup korkusuzca çırılçıplak kalmışım aşk filmlerinde olur işte öyle sevmişim sonunda bedenim sağlam bulunmuş yüreğim paramparça mayın tarlasında bir adam sevmişim aşk sanıp aşk sanıp soyunup korkusuzca çırılçıplak kalmışım aşk filmlerinde olur işte öyle sevmişim sonunda bedenim sağlam bulunmuş yüreğim paramparça
Funda Arar,Senden Öğrendim,"3 ContributorsSenden öğrendim LyricsGittin, kanadý kýrýk kuþtum
Sustum, sözlerine küstüm
Hani kýrýlýrsýn siyaha
Nöbet nöbet geceler boyunca
Dün güne dize gelince
Yürek acýlara doyunca
O tez dönüsün gec olunca
Kendime tahammülü öðrendim..
Kördüm, bilendim, seni unutmayý öðrendim..
Sen yoktun ben yalnýz kalmayý öðrendim
Acýya duvar gibi durmayý ögrendim
Kaybolmuþ bir dilin sözcükleri gibi
Köksüz, baðsýz durmayý öðrendim..
Vazgectiysen hep saðnak yaðýþlarýmdan
Vazgectiysen bitmek bilmez kýþlarýmdan
Korkma kimseye ödenecek borcum yok
Yok saymayý ben senden öðrendim..",üzgün,senden öğrendim gittin kanadý kýrýk kuþtum sustum sözlerine küstüm hani kýrýlýrsýn siyaha nöbet nöbet geceler boyunca dün güne dize gelince yürek acýlara doyunca tez dönüsün gec olunca kendime tahammülü öðrendim kördüm bilendim seni unutmayý öðrendim sen yoktun ben yalnýz kalmayý öðrendim acýya duvar durmayý ögrendim kaybolmuþ bir dilin sözcükleri köksüz baðsýz durmayý öðrendim vazgectiysen saðnak yaðýþlarýmdan vazgectiysen bitmek bilmez kýþlarýmdan korkma kimseye ödenecek borcum yok yok saymayý ben senden öðrendim
Halil Sezai,Sonbahar,"4 ContributorsSonbahar Lyrics

Derdi nedir bu sonbaharın?
Neden soldurur gülleri?
Ner'den bulur bu insanlar ben mutsuzken gülünecek şeyleri?
Derdi nedir bu sonbaharın?
Neden soldurur gülleri?
Ner'den bulur bu insanlar ben mutsuzken gülünecek şeyleri?
Tuhaflık bende biliyorum
Bi' neden arıyorum unutmak için her şeyi
Unutmak için kendimi

İki kelime yetiyor seni seven kalbi kırmaya
Sonra roman yazsan ne fayda?
İki adımda geçiyorsun yalnızlık denen tarafa
Sonra dağlar aşsan ne fayda?
İki kelime yetiyor seni seven kalbi kırmaya
Sonra roman yazsan ne fayda?
İki adımda geçiyorsun yalnızlık denen tarafa
Sonra dağlar aşsan ne fayda?

Derdi nedir bu sonbaharın?
Neden soldurur gülleri?
Ner'den bulur bu insanlar ben mutsuzken gülünecek şeyleri?
Derdi nedir bu sonbaharın?
Neden soldurur gülleri?
Ner'den bulur bu insanlar ben mutsuzken gülünecek şeyleri?
Tuhaflık bende biliyorum
Bi' neden arıyorum unutmak için her şeyi
Unutmak için kendimi

İki kelime yetiyor seni seven kalbi kırmaya
Sonra roman yazsan ne fayda?
İki adımda geçiyorsun yalnızlık denen tarafa
Sonra dağlar aşsan ne fayda?
İki kelime yetiyor seni seven kalbi kırmaya
Sonra roman yazsan ne fayda?
İki adımda geçiyorsun yalnızlık denen tarafa
Sonra dağlar aşsan ne fayda?

Dağlar aşsan ne fayda?",üzgün,sonbahar derdi nedir sonbaharın soldurur gülleri nerden bulur insanlar ben mutsuzken gülünecek şeyleri derdi nedir sonbaharın soldurur gülleri nerden bulur insanlar ben mutsuzken gülünecek şeyleri tuhaflık bende biliyorum bi arıyorum unutmak şeyi unutmak kendimi i̇ki kelime yetiyor seni seven kalbi kırmaya sonra roman yazsan fayda i̇ki adımda geçiyorsun yalnızlık denen tarafa sonra dağlar aşsan fayda i̇ki kelime yetiyor seni seven kalbi kırmaya sonra roman yazsan fayda i̇ki adımda geçiyorsun yalnızlık denen tarafa sonra dağlar aşsan fayda derdi nedir sonbaharın soldurur gülleri nerden bulur insanlar ben mutsuzken gülünecek şeyleri derdi nedir sonbaharın soldurur gülleri nerden bulur insanlar ben mutsuzken gülünecek şeyleri tuhaflık bende biliyorum bi arıyorum unutmak şeyi unutmak kendimi i̇ki kelime yetiyor seni seven kalbi kırmaya sonra roman yazsan fayda i̇ki adımda geçiyorsun yalnızlık denen tarafa sonra dağlar aşsan fayda i̇ki kelime yetiyor seni seven kalbi kırmaya sonra roman yazsan fayda i̇ki adımda geçiyorsun yalnızlık denen tarafa sonra dağlar aşsan fayda dağlar aşsan fayda
Cem Adrian,Yine Özledim,"4 ContributorsYine Özledim Lyrics
Bir gün biri değerse kalbine...
Isınırsa o küçücük ellerin...
İnanırsan yine yeryüzündeki cennete...
Tutunabilmeyi başarabilirsen bir ele...

İçinden gelirse bir şarkı söyle
Kendin için gülümse her güne
Eğer ki olursa hep iyi hatırla
Karanlıkta sana uzanan ellerimi unutma...

Özledim evet yine özledim
Sen giderken ben hep yağmurları dinledim
Özledim evet evet yine özledim
Benden büyük bir aşkı nerelere gizledim
Özledim evet evet yine özledim
Ben üşürken uzakta, hep seni düşledim
Özledim evet yine özledim
Koskocaman acıları nerelere gizledim?
Bir bilsen...

Özledim evet yine özledim
Sen giderken ben hep yağmurları dinledim
Özledim evet evet yine özledim
Benden büyük bir aşkı nerelere gizledim
Özledim evet evet yine özledim
Ben üşürken uzakta, hep seni düşledim
Özledim evet yine özledim
Koskocaman acıları nerelere gizledim?
Bir bilsen...",üzgün,yine özledim bir gün değerse kalbine isınırsa küçücük ellerin i̇nanırsan yine yeryüzündeki cennete tutunabilmeyi başarabilirsen bir ele i̇çinden gelirse bir şarkı söyle kendin gülümse güne olursa iyi hatırla karanlıkta sana uzanan ellerimi unutma özledim evet yine özledim sen giderken ben yağmurları dinledim özledim evet evet yine özledim benden büyük bir aşkı nerelere gizledim özledim evet evet yine özledim ben üşürken uzakta seni düşledim özledim evet yine özledim koskocaman acıları nerelere gizledim bir bilsen özledim evet yine özledim sen giderken ben yağmurları dinledim özledim evet evet yine özledim benden büyük bir aşkı nerelere gizledim özledim evet evet yine özledim ben üşürken uzakta seni düşledim özledim evet yine özledim koskocaman acıları nerelere gizledim bir bilsen
Nil Karaibrahimgil,Çocuk da Yaparım Kariyer de,"1 ContributorÇocuk Da Yaparım Kariyer De Lyricsİyi ki doğdum
Gördün mü 25 oldum
Özgürüm kanatlandım
Durmadım ayaklandım
Koşup ilerliyorum
İyi ki doğdum
Ne güzel bir kadın oldum
Erkekler hep peşimde
Ama aklım işimde
Sınırı zorluyorum
Kalamam hayatın köşesinde
O zaman neşesi neresinde
Koysalar önüme bariyer de
Çocuk da yaparım kariyer de
Pes etmem ben en zor günümde
Kanatlandım özgürüm ben de
Deseler geçecek bu heves de
Çocuk da yaparım kariyer de",üzgün,contributorçocuk yaparım kariyer i̇yi doğdum gördün oldum özgürüm kanatlandım durmadım ayaklandım koşup ilerliyorum i̇yi doğdum güzel bir kadın oldum erkekler peşimde aklım işimde sınırı zorluyorum kalamam hayatın köşesinde zaman neşesi neresinde koysalar önüme bariyer çocuk yaparım kariyer pes etmem ben zor günümde kanatlandım özgürüm ben deseler geçecek heves çocuk yaparım kariyer
Kenan Doğulu,Rütbeni Bileceksin,"3 ContributorsRütbeni Bileceksin Lyrics
Sen bu yollara yeni girmek isterken
Biz geri dönüyorduk
Mütevazı ol, biraz eksiltip söyle
En muhteşem sen olamazsın
Küçük dağları sen yarattın
Sanki insanlığı sen kurtardın
Kahramansan hani neredesin?
""Neydim"" demeyip ""ne oldum""cular
Hep tepetaklak savruldular
Nankörlük hain huy, yandılar

Ustan ""eyvah"" diyecek
Rüzgâr çok sert esecek
İyilikten vazgeçecek
Acı biberi diline kaşık ile sürecek

Sen hep kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
(Bilice'n, rütbeni bilice'n)

Herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek
Bu âlemde kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
(Bilice'n, rütbeni bilice'n)
Artık herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek

Hak ararken yine haddini aştın
Bu cesaret bardaktan taştı
Saygılı ol, biraz çamursuz güreş
Emeğe saygı bu kadar mı?
Küçük dağları sen yarattın
Sanki insanlığı sen kurtardın
Kahramansan hani neredesin?
""Neydim"" demeyip ""ne oldum""cular
Hep tepetaklak savruldular
Nankörlük hain huy, yandılar

Ustan ""eyvah"" diyecek
Rüzgâr çok sert esecek
İyilikten vazgeçecek
Acı biberi diline kaşık ile sürecek

Sen hep kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
Herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek
Bu âlemde kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
(Bilice'n, rütbeni bilice'n)
Artık herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek
(Restini çekecek)
Sen hep kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
(Rütbeni bilice'n)

Herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek
Bu âlemde kendini bilice'n
Geçme sınırını çizice'n
Önce rütbeni bilice'n
(Bilice'n, rütbeni bilice'n)
Artık herkes kendini bilecek
Durma sınırını çizecek
Kendi restini çekecek

Eyvallah...",üzgün,rütbeni bileceksin sen yollara yeni girmek isterken geri dönüyorduk mütevazı ol biraz eksiltip söyle muhteşem sen olamazsın küçük dağları sen yarattın insanlığı sen kurtardın kahramansan hani neredesin neydim demeyip oldumcular tepetaklak savruldular nankörlük hain huy yandılar ustan eyvah diyecek rüzgâr sert esecek i̇yilikten vazgeçecek acı biberi diline kaşık sürecek sen kendini bilicen geçme sınırını çizicen önce rütbeni bilicen bilicen rütbeni bilicen herkes kendini bilecek durma sınırını çizecek kendi restini çekecek âlemde kendini bilicen geçme sınırını çizicen önce rütbeni bilicen bilicen rütbeni bilicen artık herkes kendini bilecek durma sınırını çizecek kendi restini çekecek hak ararken yine haddini aştın cesaret bardaktan taştı saygılı ol biraz çamursuz güreş emeğe saygı kadar küçük dağları sen yarattın insanlığı sen kurtardın kahramansan hani neredesin neydim demeyip oldumcular tepetaklak savruldular nankörlük hain huy yandılar ustan eyvah diyecek rüzgâr sert esecek i̇yilikten vazgeçecek acı biberi diline kaşık sürecek sen kendini bilicen geçme sınırını çizicen önce rütbeni bilicen herkes kendini bilecek durma sınırını çizecek kendi restini çekecek âlemde kendini bilicen geçme sınırını çizicen önce rütbeni bilicen bilicen rütbeni bilicen artık herkes kendini bilecek durma sınırını çizecek kendi restini çekecek restini çekecek sen kendini bilicen geçme sınırını çizicen önce rütbeni bilicen rütbeni bilicen herkes kendini bilecek durma sınırını çizecek kendi restini çekecek âlemde kendini bilicen geçme sınırını çizicen önce rütbeni bilicen bilicen rütbeni bilicen artık herkes kendini bilecek durma sınırını çizecek kendi restini çekecek eyvallah
Levent Yüksel,Tuana,"3 ContributorsTuana Lyrics

Tuana, dallarına karlar yağıyor, Tuana
Ay, yüreğine ayaz vurur da sen üşürsün oralarda, ah
Uyan, artık uyan
Kara gülüm, zaman yok
Kara gülüm, mekân yok

Tut asırlık umutlarla, acılarla
Tut, bırakma peşini hayatın ateşini, gel
Ah, akıp, gider oyun, akıp, gider, devam eder hayat
Ah, uyan da gel, Tuana, yüreğim kan ağlıyor

Sana söz, yine baharlar gelecek, sana söz, ışık sönmeyecek
Ölüm yok ki, Tuana, uyan, şimdi yaşanacak
Sana söz, yine baharlar gelecek, sana söz, ışık sönmeyecek
Söz, söz, söz, söz
Söz, söz, söz

Tut asırlık umutlarla, acılarla
Tut, bırakma peşini hayatın ateşini, gel
Ah, akıp, gider oyun, akıp, gider, devam eder hayat
Ah, uyan da gel, Tuana, yüreğim kan ağlıyor

Sana söz, yine baharlar gelecek, sana söz, ışık sönmеyecek
Ölüm yok ki, Tuana, uyan, şimdi yaşanacak
Sana söz, yine baharlar gеlecek, sana söz, ışık sönmeyecek
Söz, söz, söz, söz
Söz, söz, söz, söz (Ah-ay-ay-ay-ah)

Söz, söz, söz, söz (Tuana, ah)
Söz, söz, söz, söz (Ay, ay, ay)
Söz, söz, söz, söz (Ay-ay-ay-ay, ay, ay-ay-ay-ay)
Söz (Ay)",üzgün,tuana tuana dallarına karlar yağıyor tuana ay yüreğine ayaz vurur sen üşürsün oralarda ah uyan artık uyan kara gülüm zaman yok kara gülüm mekân yok tut asırlık umutlarla acılarla tut bırakma peşini hayatın ateşini gel ah akıp gider oyun akıp gider devam eder hayat ah uyan gel tuana yüreğim kan ağlıyor sana söz yine baharlar gelecek sana söz ışık sönmeyecek ölüm yok tuana uyan şimdi yaşanacak sana söz yine baharlar gelecek sana söz ışık sönmeyecek söz söz söz söz söz söz söz tut asırlık umutlarla acılarla tut bırakma peşini hayatın ateşini gel ah akıp gider oyun akıp gider devam eder hayat ah uyan gel tuana yüreğim kan ağlıyor sana söz yine baharlar gelecek sana söz ışık sönmеyecek ölüm yok tuana uyan şimdi yaşanacak sana söz yine baharlar gеlecek sana söz ışık sönmeyecek söz söz söz söz söz söz söz söz ahayayayah söz söz söz söz tuana ah söz söz söz söz ay ay ay söz söz söz söz ayayayay ay ayayayay söz ay
Göksel,Kurşuni Renkler,"3 ContributorsKurşuni Renkler Lyrics

Bir sabah saçlarımı okşayıp da rüzgâr
İzlerini sürüp de gidecek beyaz beyaz
Ve güneş, aynaya baktığımda çizgilerden
Yeni bir yüz gösterecek üzülerek biraz

Yok, olmaz, erken daha, biraz geç kalın ne olur
Hiç hazır değilim henüz
Ne olur baharlarımı bırakın bir süre daha
Tanıdık değil bana güz

Yok, olamaz dur, dur gidemezsin
Gözlerimin rengi, dur, bulutlara dönemezsin
Yok, alamazsın beni deli zaman, dur
Ömrüme o kurşuni renkleri süremezsin

Yok, olmaz, erken daha, biraz geç kalın ne olur
Hiç hazır değilim henüz
Ne olur baharlarımı bırakın bir süre daha
Tanıdık değil bana güz

O gün başka renkte ağaracak biliyorum
Ve zorla değil ya, o rengi hiç sevmiyorum
Ne olur sanki biraz daha zaman verseniz?
Yıllar, öfkenizi hiç mi hiç anlamıyorum

Yok, olmaz, erken daha, biraz geç kalın ne olur
Hiç hazır değilim henüz
Ne olur baharlarımı bırakın bir süre daha
Tanıdık değil bana güz

Yok, olamaz dur, dur gidemezsin
Gözlerimin rengi, dur, bulutlara dönemezsin
Yok, alamazsın beni deli zaman, dur
Ömrüme o kurşuni renkleri süremezsin

Yok, olmaz, erken daha, biraz geç kalın ne olur
Hiç hazır değilim henüz
Ne olur baharlarımı bırakın bir süre daha
Tanıdık değil bana güz",üzgün,kurşuni renkler bir sabah saçlarımı okşayıp rüzgâr i̇zlerini sürüp gidecek beyaz beyaz güneş aynaya baktığımda çizgilerden yeni bir yüz gösterecek üzülerek biraz yok olmaz erken biraz geç kalın olur hazır değilim henüz olur baharlarımı bırakın bir süre tanıdık değil bana güz yok olamaz dur dur gidemezsin gözlerimin rengi dur bulutlara dönemezsin yok alamazsın beni deli zaman dur ömrüme kurşuni renkleri süremezsin yok olmaz erken biraz geç kalın olur hazır değilim henüz olur baharlarımı bırakın bir süre tanıdık değil bana güz gün başka renkte ağaracak biliyorum zorla değil rengi sevmiyorum olur biraz zaman verseniz yıllar öfkenizi mi anlamıyorum yok olmaz erken biraz geç kalın olur hazır değilim henüz olur baharlarımı bırakın bir süre tanıdık değil bana güz yok olamaz dur dur gidemezsin gözlerimin rengi dur bulutlara dönemezsin yok alamazsın beni deli zaman dur ömrüme kurşuni renkleri süremezsin yok olmaz erken biraz geç kalın olur hazır değilim henüz olur baharlarımı bırakın bir süre tanıdık değil bana güz
Ajda Pekkan,Yan,"3 ContributorsYan LyricsÇok yoruldum yaşananlardan
Yok çok sıkıldım duyduklarımdan
E, sen erişilmez ulaşılmaz sanıyorsun
Kendini
Beni kaybettiğini hala içine sindiremedin
Ama bir şey unutma
Ağır gelir bende bulduklarını
Bir başkasında aradığın zaman
Yan gece gündüz yan
Milim milim yan
İnim inim inle aşkımdan haline yan
Bensizliğine yan sensizliğime yan
Beni bu hale nasıl getirdiğine yan
Gözümden düşersin
Geri döndüğün zaman
Söz-Müzik: Bülent Yetiş",üzgün,yan yoruldum yaşananlardan yok sıkıldım duyduklarımdan e sen erişilmez ulaşılmaz sanıyorsun kendini beni kaybettiğini hala içine sindiremedin bir unutma ağır gelir bende bulduklarını bir başkasında aradığın zaman yan gece gündüz yan milim milim yan i̇nim inim inle aşkımdan haline yan bensizliğine yan sensizliğime yan beni hale getirdiğine yan gözümden düşersin geri döndüğün zaman sözmüzik bülent yetiş
Bengü,Haberin Olsun,"3 ContributorsHaberin Olsun LyricsYakışmadı bize bu ayrılık
Sen ne dersen de
Yemin ederim söyleyemedim
Daha kimse bilmiyor
Ben istedim ki
Sadece ikimize dönsün bu dünya
Yemin ederim
Sensiz gözüme uyku girmiyor
Atalım içimize, susalım gitsin
Bütün öfkemizi yakalım, bitsin
Ortada bir durum yok onarılmaz
Yeter ki gurur bizi terk etsin
Biz ayrı yara bere içinde kalırız, haberin olsun
Yeter ki bir arada olalım, isterse dünya dursun!
Bu aşk böyle yarım kalamaz; bana güven, hiçbir şey olmaz!
Yerin sonsuza kadar benim yanım olsun",üzgün,haberin olsun yakışmadı bize ayrılık sen dersen yemin ederim söyleyemedim kimse bilmiyor ben istedim sadece ikimize dönsün dünya yemin ederim sensiz gözüme uyku girmiyor atalım içimize susalım gitsin bütün öfkemizi yakalım bitsin ortada bir durum yok onarılmaz yeter gurur bizi terk etsin ayrı yara bere içinde kalırız haberin olsun yeter bir arada olalım isterse dünya dursun aşk böyle yarım kalamaz bana güven hiçbir olmaz yerin sonsuza kadar benim yanım olsun
Mabel Matiz,Gök Nerede,"4 ContributorsGök Nerede Lyrics
Kalbim yolların sürgünü, aldırma
Kararıyorum gölgesiz gururlarda

Sana değil, bana değil
Kaderimize bu feryat
Çareyi bul, bana getir
Çare ise sabır, dua

Kar bürüyor yollarımı
Kim doluyor kollarıma?
Yağ da yetiş be yağmurum
Ağarmıyor sabahlarım
""Yandım aman, yar."" demeden
Hangi ödünç kâr canıma?
Yağ da devir şu dağlarımı
Görelim gök nerede

Hangi sahranın gülüyüm, aldırmam
Kâh arıyorum, kâhi kayboldum or'da

Sana değil, bana değil
Kaderimize bu feryat
Çareyi bul, bana getir
Çare ise sabır, dua

(x2)
Kar bürüyor yollarımı
Kim doluyor kollarıma?
Yağ da yetiş be yağmurum
Ağarmıyor sabahlarım
""Yandım aman, yar."" demeden
Hangi ödünç kâr canıma?
Yağ da devir şu dağlarımı
Görelim gök nerede
(x2)
Görelim gök nerede",üzgün,gök kalbim yolların sürgünü aldırma kararıyorum gölgesiz gururlarda sana değil bana değil kaderimize feryat çareyi bul bana getir çare sabır dua kar bürüyor yollarımı doluyor kollarıma yağ yetiş be yağmurum ağarmıyor sabahlarım yandım aman yar demeden hangi ödünç kâr canıma yağ devir dağlarımı görelim gök hangi sahranın gülüyüm aldırmam kâh arıyorum kâhi kayboldum orda sana değil bana değil kaderimize feryat çareyi bul bana getir çare sabır dua x kar bürüyor yollarımı doluyor kollarıma yağ yetiş be yağmurum ağarmıyor sabahlarım yandım aman yar demeden hangi ödünç kâr canıma yağ devir dağlarımı görelim gök x görelim gök
Tuğba Yurt,İnceden İnceden,"5 Contributorsİnceden İnceden Lyrics

Geri dönmek için geç kaldın sıra sende, üzüleceksin
Varlığınla ne kazandırdın? Yokluğunla ne kaybettireceksin?
Bi' gün, iki gün sonra çözülür bağladığım karalar (Karalar)
Önüme bakarım taş olsan yoluma, kalbim seni paralar

""Gel deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden
""Deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden

Geri dönmek için geç kaldın sıra sende, üzüleceksin
Varlığınla ne kazandırdın? Yokluğunla ne kaybettireceksin?
Bi' gün, iki gün sonra çözülür bağladığım karalar (Karalar)
Önüme bakarım taş olsan yoluma, kalbim seni paralar

""Gel deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden
""Deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden
""Deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden
""Deneyelim"" diyorsun, olur mu yeniden?
Ruhumu okşuyor inceden inceden
Kanmam be oğlum, neler gördüm neler
Nasibimi aldım tüm yeminlerden",üzgün,i̇nceden i̇nceden geri dönmek geç kaldın sıra sende üzüleceksin varlığınla kazandırdın yokluğunla kaybettireceksin bi gün iki gün sonra çözülür bağladığım karalar karalar önüme bakarım taş olsan yoluma kalbim seni paralar gel deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden geri dönmek geç kaldın sıra sende üzüleceksin varlığınla kazandırdın yokluğunla kaybettireceksin bi gün iki gün sonra çözülür bağladığım karalar karalar önüme bakarım taş olsan yoluma kalbim seni paralar gel deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden deneyelim diyorsun olur yeniden ruhumu okşuyor inceden inceden kanmam be oğlum neler gördüm neler nasibimi aldım yeminlerden
Müslüm Gürses,İtirazım Var,"14 Contributorsİtirazım Var Lyrics

İtirazım var bu zalim kadere
İtirazım var bu sonsuz kedere
Feleğin cilvesine, hayatın sillesine
Dertlerin cümlesine itirazım var
Yarım kalan sevgiye, şu emanet gülmeye
Yaşamadan ölmeye itirazım var

Ben hep yenilmeye mahkûm muyum?
Ben hep ezilmeye mecbur muyum?
İtirazım var bu yalan dolana
Benim şu dertlere ne borcum var ki?
Tuttu, yakamı bırakmıyor
Benim mutlulukla ne zorum var ki?
Bana cehennemi aratmıyor
Bana cehennemi aratmıyor

İtirazım var değişmez yazıma
İtirazım var bu dertli şansıma
Sevginin sahtesine, hayatın cilvesine
Talihin böylesine itirazım var
Yalan dolu gözlere, durulmamış sözlere
Dost olmayan yüzlere itirazım var

Ben hep yenilmeye mahkûm muyum?
Ben hep ezilmeye mecbur muyum?
İtirazım var bu yalan dolana
Benim şu dertlere ne borcum var ki?
Tuttu, yakamı bırakmıyor
Benim mutlulukla ne zorum var ki?
Bana cehennemi aratmıyor
Bana cehennemi aratmıyor

İtirazım var bu zalim kadere
İtirazım var bu sonsuz kedere, feleğin cilvesine
Hayatın sillesine, dertlerin cümlesine itirazım var
Yarım kalan sevgiye, şu emanet gülmeye, yaşamadan ölmeye itirazım var
Ben hep böyle yenilmeye mahkûm muyum?
Ben hep böyle ezilmeye mecbur muyum?
İtirazım var bu yalan dolana, benim şu dertlere ne borcum var ki?
Tuttu, yakamı bırakmıyor
Benim mutlulukla ne zorum var ki bana cehennemi aratmıyor?
İtirazım var, itirazım var, itirazım var",üzgün,i̇tirazım var i̇tirazım var zalim kadere i̇tirazım var sonsuz kedere feleğin cilvesine hayatın sillesine dertlerin cümlesine itirazım var yarım kalan sevgiye emanet gülmeye yaşamadan ölmeye itirazım var ben yenilmeye mahkûm muyum ben ezilmeye mecbur muyum i̇tirazım var yalan dolana benim dertlere borcum var tuttu yakamı bırakmıyor benim mutlulukla zorum var bana cehennemi aratmıyor bana cehennemi aratmıyor i̇tirazım var değişmez yazıma i̇tirazım var dertli şansıma sevginin sahtesine hayatın cilvesine talihin böylesine itirazım var yalan dolu gözlere durulmamış sözlere dost olmayan yüzlere itirazım var ben yenilmeye mahkûm muyum ben ezilmeye mecbur muyum i̇tirazım var yalan dolana benim dertlere borcum var tuttu yakamı bırakmıyor benim mutlulukla zorum var bana cehennemi aratmıyor bana cehennemi aratmıyor i̇tirazım var zalim kadere i̇tirazım var sonsuz kedere feleğin cilvesine hayatın sillesine dertlerin cümlesine itirazım var yarım kalan sevgiye emanet gülmeye yaşamadan ölmeye itirazım var ben böyle yenilmeye mahkûm muyum ben böyle ezilmeye mecbur muyum i̇tirazım var yalan dolana benim dertlere borcum var tuttu yakamı bırakmıyor benim mutlulukla zorum var bana cehennemi aratmıyor i̇tirazım var itirazım var itirazım var
