artist,song_title,lyrics,mood,temiz_lyrics
Demet Akalın,Aşk,"1 ContributorAşk LyricsAşk her şeyi geride bırakır
En sevdiğim yanı hep önüne baktırır
Düşünmeden geçmişi sildirir
Bir bakmışsın ki iki yüzük seçtirir
Düşünmeden yeniyi sevdirir
Bir bakmışsın ki gelinlik giydirir
Mutlu olan herkes el kaldırsın
Kutla kutla kutla
Çekemeyen aramızdan ayrılsın
Hızla hızla hızla",mutlu,contributoraşk aşk şeyi geride bırakır sevdiğim yanı önüne baktırır düşünmeden geçmişi sildirir bir bakmışsın iki yüzük seçtirir düşünmeden yeniyi sevdirir bir bakmışsın gelinlik giydirir mutlu olan herkes el kaldırsın kutla kutla kutla çekemeyen aramızdan ayrılsın hızla hızla hızla
Hadise,Düm Tek Tek,"11 ContributorsDüm Tek Tek Lyrics
Baby, you're perfect for me
You are my gift from heaven
This is the greastest story of all times
We met like in a movie
So meant to last forever
And what you're doing to me feels so fine

Angel, I wake up
And live my dreams
Endlessly
Crazy for you

Can you feel the rhythm in my heart?
The beat's going düm tek tek
Always out it like there's no limit
Feels like there's no way back
Can you feel the rhythm in my heart?
The beat's going düm tek tek
Always out it like there's no limit
Feels like there's no way back

Baby, I read all answers
In your exotic movements
You are the greatest dancer of all times
You make me feel so special
No one can kiss like you do
As if it's your profession
Feels so fine

Angel, I wake up
And live my dreams
Endlessly
Crazy for you

Can you feel the rhythm in my heart?
The beat's going düm tek tek
Always out it like there's no limit
Feels like there's no way back
Can you feel the rhythm in my heart?
The beat's going düm tek tek
Always out it like there's no limit
Feels like there's no way back

Can you feel the rhythm in my heart?

Can you feel the rhythm in my heart?
The beat's going düm tek tek
Always louder like there's no limit
Feels like there's no way back
Can you feel the rhythm in my heart
The beat's going düm tek tek
Always louder like there's no limit
Feels like there's no way back
Always louder like there is no limit
Feels like there's no way back
Always louder like there is no limit
Feels like düm tek tek",mutlu,düm tek tek baby youre perfect for me you are my gift from heaven this is the greastest story of all times we met like in a movie so meant to last forever and what youre doing to me feels so fine angel i wake up and live my dreams endlessly crazy for you can you feel the rhythm in my heart the beats going düm tek tek always out it like theres no limit feels like theres no way back can you feel the rhythm in my heart the beats going düm tek tek always out it like theres no limit feels like theres no way back baby i read all answers in your exotic movements you are the greatest dancer of all times you make me feel so special no one can kiss like you do as if its your profession feels so fine angel i wake up and live my dreams endlessly crazy for you can you feel the rhythm in my heart the beats going düm tek tek always out it like theres no limit feels like theres no way back can you feel the rhythm in my heart the beats going düm tek tek always out it like theres no limit feels like theres no way back can you feel the rhythm in my heart can you feel the rhythm in my heart the beats going düm tek tek always louder like theres no limit feels like theres no way back can you feel the rhythm in my heart the beats going düm tek tek always louder like theres no limit feels like theres no way back always louder like there is no limit feels like theres no way back always louder like there is no limit feels like düm tek tek
Tarkan,Dudu,"10 ContributorsDudu Lyrics

Ağlamadan ayrılık olmaz
Hatıralar uslu durmaz
Kalanlar gideni gönlünde taşır
Aşk sevene yük olmaz
Biz böyle bilir, böyle yaşarız

(O-oo, o-o-oo) O da biliyor
(O-oo, o-o-oo) O da seviyor
(O-oo, o-o-oo) Bile bile kafa tutuyor aşka
Gözü kara, o yine bildiğini okuyor

Çiçek gibi tazecik, kıymetli bi' tanecik
Ana sütü gibi tertemiz
Dudu dudu dilleri, lıkır lıkır içmeli
Gözleri derya deniz

Bu gönül ona torpil geçiyor
Etrafında fır dönüyor
El bebek gül bebektir o
Ne yapsa inadına hoş görüyor
Kara kara düşündürüyor

(O-oo, o-o-oo) Onun da içi gidiyor
(O-oo, o-o-oo) O da tasalanıyor
(O-oo, o-o-oo) Bile bile kafa tutuyor aşka
Gözü kara, o yine bildiğini okuyor

Sen güldüğüme bakma
Gör de, duy da inanma
Tuz buz oldu bu kalp, ah, on bin parça
Aldığım her nefeste, attığım her adımda
Bur'da olsa, cancağızım yanımda olsa

Çiçek gibi tazecik, kıymetli bi' tanecik
Ana sütü gibi tertemiz
Dudu dudu dilleri, lıkır lıkır içmeli
Gözleri derya deniz
Çiçek gibi tazecik, kıymetli bi' tanecik
Ana sütü gibi tertemiz
Dudu dudu dilleri, lıkır lıkır içmeli
Gözleri derya deniz

Ata ata dertleri hep içime attım
İnsan gibi yaşamak benim de hakkım
İçimdeki zemberek kırıldı artık
Tamiri mümkün değilse işte o gün yandık
Her gün yağmur yağabilir, insan hata yapabilir
Birbirimize tutunursak belki güneş doğabilir

(O-oo, o-o-oo) O da biliyor
(O-oo, o-o-oo) O da seviyor
(O-oo, o-o-oo) Bile bile kafa tutuyor aşka
Gözü kara, o yine bildiğini okuyor

Mm, of

Çiçek gibi tazecik, kıymetli bi' tanecik
Ana sütü gibi tertemiz
Dudu dudu dilleri, lıkır lıkır içmeli
Gözleri derya deniz
Çiçek gibi tazecik, kıymetli bi' tanecik
Ana sütü gibi tertemiz
Dudu dudu dilleri, lıkır lıkır içmeli
Gözleri derya deniz",mutlu,dudu ağlamadan ayrılık olmaz hatıralar uslu durmaz kalanlar gideni gönlünde taşır aşk sevene yük olmaz böyle bilir böyle yaşarız ooo oooo biliyor ooo oooo seviyor ooo oooo bile bile kafa tutuyor aşka gözü kara yine bildiğini okuyor çiçek tazecik kıymetli bi tanecik ana sütü tertemiz dudu dudu dilleri lıkır lıkır içmeli gözleri derya deniz gönül ona torpil geçiyor etrafında fır dönüyor el bebek gül bebektir yapsa inadına hoş görüyor kara kara düşündürüyor ooo oooo onun içi gidiyor ooo oooo tasalanıyor ooo oooo bile bile kafa tutuyor aşka gözü kara yine bildiğini okuyor sen güldüğüme bakma gör duy inanma tuz buz oldu kalp ah on bin parça aldığım nefeste attığım adımda burda olsa cancağızım yanımda olsa çiçek tazecik kıymetli bi tanecik ana sütü tertemiz dudu dudu dilleri lıkır lıkır içmeli gözleri derya deniz çiçek tazecik kıymetli bi tanecik ana sütü tertemiz dudu dudu dilleri lıkır lıkır içmeli gözleri derya deniz ata ata dertleri içime attım i̇nsan yaşamak benim hakkım i̇çimdeki zemberek kırıldı artık tamiri mümkün değilse işte gün yandık gün yağmur yağabilir insan hata yapabilir birbirimize tutunursak güneş doğabilir ooo oooo biliyor ooo oooo seviyor ooo oooo bile bile kafa tutuyor aşka gözü kara yine bildiğini okuyor mm of çiçek tazecik kıymetli bi tanecik ana sütü tertemiz dudu dudu dilleri lıkır lıkır içmeli gözleri derya deniz çiçek tazecik kıymetli bi tanecik ana sütü tertemiz dudu dudu dilleri lıkır lıkır içmeli gözleri derya deniz
Serdar Ortaç,Dansöz,"7 ContributorsDansöz Lyrics

Binlerce dansöz var
Binlerce dansöz var

İtiraf ediyorum sana itiraf
Başladı yaralı aşklara tadilat
Masumum, dışarıdan daha masumum
Maalesef, bunun için sana mecburum
Yüksek uçan kuşun, yüreği sarhoşun
Acı çeker gibi, kölesi olmuşum
Kavga edenlere, bana küsenlere
Yüreği çark edip geri dönenlere

""Affet"" diyen kim?
""Ez geç"" diyen kim?
Aşktan çeken kim
Benim kadar?

Ölene kadar aşık olamazsın
Birisi çıkar, onu anlayamazsın
Sen o tür oyunlara katlanamazsın
Senin bir kalbin var

Hadi diyelim biri çok deli sevdi
Senin için her şeyi, her şeyi verdi
Ya bir gün olur sana bel kıvırırsa?
Binlerce dansöz var

İtiraf ediyorum sana itiraf
Başladı yaralı aşklara tadilat
Masumum, dışarıdan daha masumum
Maalesef, bunun için sana mecburum
Yüksek uçan kuşun, yüreği sarhoşun
Acı çeker gibi, kölesi olmuşum
Kavga edenlere, bana küsenlere
Yüreği çark edip geri dönenlere

Affet diyen kim?
Ez geç diyen kim?
Aşktan çeken kim?
Benim kadar

Ölene kadar aşık olamazsın
Birisi çıkar, onu anlayamazsın
Sen o tür oyunlara katlanamazsın
Senin bir kalbin var

Hadi diyelim biri çok deli sevdi
Senin için her şeyi, her şeyi verdi
Ya bir gün olur sana bel kıvırırsa?
Binlerce dansöz var
Ölene kadar aşık olamazsın
Birisi çıkar, onu anlayamazsın
Sen o tür oyunlara katlanamazsın
Senin bir kalbin var
Hadi diyelim biri çok deli sevdi
Senin için her şeyi, her şeyi verdi
Ya bir gün olur sana bel kıvırırsa?
Binlerce dansöz var
Ölene kadar aşık olamazsın
Birisi çıkar, onu anlayamazsın
Sen o tür oyunlara katlanamazsın
Senin bir kalbin var
Hadi diyelim biri çok deli sevdi
Senin için her şeyi, her şeyi verdi
Ya bir gün olur sana bel kıvırırsa?
Binlerce dansöz var
Ölene kadar aşık olamazsın
Birisi çıkar, onu anlayamazsın
Sen o tür oyunlara katlanamazsın
Senin bir kalbin var

Hadi diyelim biri çok deli sevdi
Senin için her şeyi, her şeyi verdi
Ya bir gün olur sana bel kıvırırsa?
Binlerce dansöz var",mutlu,dansöz binlerce dansöz var binlerce dansöz var i̇tiraf ediyorum sana itiraf başladı yaralı aşklara tadilat masumum dışarıdan masumum maalesef bunun sana mecburum yüksek uçan kuşun yüreği sarhoşun acı çeker kölesi olmuşum kavga edenlere bana küsenlere yüreği çark edip geri dönenlere affet diyen ez geç diyen aşktan çeken benim kadar ölene kadar aşık olamazsın birisi çıkar onu anlayamazsın sen tür oyunlara katlanamazsın senin bir kalbin var hadi diyelim deli sevdi senin şeyi şeyi verdi bir gün olur sana bel kıvırırsa binlerce dansöz var i̇tiraf ediyorum sana itiraf başladı yaralı aşklara tadilat masumum dışarıdan masumum maalesef bunun sana mecburum yüksek uçan kuşun yüreği sarhoşun acı çeker kölesi olmuşum kavga edenlere bana küsenlere yüreği çark edip geri dönenlere affet diyen ez geç diyen aşktan çeken benim kadar ölene kadar aşık olamazsın birisi çıkar onu anlayamazsın sen tür oyunlara katlanamazsın senin bir kalbin var hadi diyelim deli sevdi senin şeyi şeyi verdi bir gün olur sana bel kıvırırsa binlerce dansöz var ölene kadar aşık olamazsın birisi çıkar onu anlayamazsın sen tür oyunlara katlanamazsın senin bir kalbin var hadi diyelim deli sevdi senin şeyi şeyi verdi bir gün olur sana bel kıvırırsa binlerce dansöz var ölene kadar aşık olamazsın birisi çıkar onu anlayamazsın sen tür oyunlara katlanamazsın senin bir kalbin var hadi diyelim deli sevdi senin şeyi şeyi verdi bir gün olur sana bel kıvırırsa binlerce dansöz var ölene kadar aşık olamazsın birisi çıkar onu anlayamazsın sen tür oyunlara katlanamazsın senin bir kalbin var hadi diyelim deli sevdi senin şeyi şeyi verdi bir gün olur sana bel kıvırırsa binlerce dansöz var
Simge,Ben Bazen,"3 ContributorsBen Bazen Lyrics
Üstüme üstüme geliyor hayat
Sabrımı sınıyor
Yaptığı şakalar artık bayat
Hep başa sarıyor
Bazen çok dayanılmaz olabiliyor
Sorduğu sorular
Kısmen bir şeyleri alıp götürüyor
Bozuluyor havalar

Ben bazen
Gitmek istiyorum uzaklara
Kaçmak istiyorum bu iklimden
Belki de kendimden

Üstüme üstüme geliyor hayat
Sabrımı sınıyor
Yaptığı şakalar artık bayat
Hep başa sarıyor
Bazen çok dayanılmaz olabiliyor
Sorduğu sorular
Kısmen bir şeyleri alıp götürüyor
Bozuluyor havalar

Ben bazen
Gitmek istiyorum uzaklara
Kaçmak istiyorum bu iklimden
Belki de kendimden",mutlu,ben bazen üstüme üstüme geliyor hayat sabrımı sınıyor yaptığı şakalar artık bayat başa sarıyor bazen dayanılmaz olabiliyor sorduğu sorular kısmen bir şeyleri alıp götürüyor bozuluyor havalar ben bazen gitmek istiyorum uzaklara kaçmak istiyorum iklimden kendimden üstüme üstüme geliyor hayat sabrımı sınıyor yaptığı şakalar artık bayat başa sarıyor bazen dayanılmaz olabiliyor sorduğu sorular kısmen bir şeyleri alıp götürüyor bozuluyor havalar ben bazen gitmek istiyorum uzaklara kaçmak istiyorum iklimden kendimden
İrem Derici,Zorun Ne Sevgilim,"1 ContributorZorun Ne Sevgilim LyricsNeslimiz tükeniyor, azalıyoruz
Peki neden hep böyle biz üzülüyoruz
Yüreğini ortaya koyan kalmadı
Aşk meleği bunu açıklamalı
Üstüne düşüyorum, kendini çekiyor
Umursamıyorum, olay çıkıyor
Aşkta bir taraf erken bıkıyor
Gariplik bizde mi, gidenlerde mi?
Senin benimle zorun ne sevgilim
Bu kalbi kırıp kırıp neden parçalıyorsun
Açık açık anlat, sorun ne sevgilim
Neden şimdi yeni bir savaş başlatıyorsun?",mutlu,contributorzorun sevgilim neslimiz tükeniyor azalıyoruz peki böyle üzülüyoruz yüreğini ortaya koyan kalmadı aşk meleği bunu açıklamalı üstüne düşüyorum kendini çekiyor umursamıyorum olay çıkıyor aşkta bir taraf erken bıkıyor gariplik bizde mi gidenlerde mi senin benimle zorun sevgilim kalbi kırıp kırıp parçalıyorsun açık açık anlat sorun sevgilim şimdi yeni bir savaş başlatıyorsun
Gülşen,Of Of,"3 ContributorsOf Of Lyricsİçlendiğim günler oldu
Bozulduğum şeyler oldu
Hiçbirini yansıtmadım
Konuşmaksa bir hayal oldu
Üzülmem mi, bozulmam mı
Kırılmam mı, dağılmam mı of
Kadersiz miyim neyim
Oyuncağın mıyım neyim
Of of kömür gibi yanıyorum
Of of ayıp mıdır seviyorum
Of of hislerimle oynuyorsun
Gır gır geçip duruyorsun
Neden böyle yapıyorsun of
Of of kömür gibi yanıyorum
Of of ben derdimi biliyorum
Of of düşlerime giriyorsun
Bir girdin mi çıkmıyorsun
Neden böyle yapıyorsun of
Ben sadece gölgen oldum
Dur dediğin yerde durdum
Beş para etmez dünyada
Güvendiğim bir sen oldun

Olan yine bana oldu
Sana bir gün daha doğdu of",mutlu,of of i̇çlendiğim günler oldu bozulduğum şeyler oldu hiçbirini yansıtmadım konuşmaksa bir hayal oldu üzülmem mi bozulmam kırılmam dağılmam of kadersiz miyim neyim oyuncağın mıyım neyim of of kömür yanıyorum of of ayıp mıdır seviyorum of of hislerimle oynuyorsun gır gır geçip duruyorsun böyle yapıyorsun of of of kömür yanıyorum of of ben derdimi biliyorum of of düşlerime giriyorsun bir girdin mi çıkmıyorsun böyle yapıyorsun of ben sadece gölgen oldum dur dediğin yerde durdum beş para etmez dünyada güvendiğim bir sen oldun olan yine bana oldu sana bir gün doğdu of
Mustafa Ceceli,Hüsran,"5 ContributorsHüsran Lyrics

Yine soluyor içimde bütün çiçekler
Başka bir baharda gülümserler
Yorgun kalbim, yorgun hayallerim
Direniyorlar bana, hâlâ yenilmedim

Hep bir ümit yüreğimde, hep aynı cesaret
İçimden bir ses der ""Sabret, sabret""
Onca düşün arasında, yıllar ardından
Geriye bana kalan

Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im
Hüsran, feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im


Hep bir ümit yüreğimde, hep aynı cesaret
İçimden bir ses der ""Sabret, sabret""
Onca düşün arasında, yıllar ardından
Geriye bana kalan

Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im
Hüsran, feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im


Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im",mutlu,hüsran yine soluyor içimde bütün çiçekler başka bir baharda gülümserler yorgun kalbim yorgun hayallerim direniyorlar bana hâlâ yenilmedim bir ümit yüreğimde aynı cesaret i̇çimden bir ses der sabret sabret onca düşün arasında yıllar ardından geriye bana kalan yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim hüsran feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim bir ümit yüreğimde aynı cesaret i̇çimden bir ses der sabret sabret onca düşün arasında yıllar ardından geriye bana kalan yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim hüsran feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim
Buray,Sen Sevda Mısın,"5 ContributorsSen Sevda Mısın Lyrics
Umut yok bir ışık yok gözlerinde
Ben hala bekleyenim olsun
Ateş yok sıcaklık yok ellerinde
Ben yanarım aşkın sağolsun

Sen kapımı çal ansızın gir içeri
Her zaman başımın üstünde senin yerin
Dilim tutulur sözcükler uçarsa aklımdan
Benim güzel misafirim sen hep hoşgeldin

Sen sevda mısın yoksa yalan dolan
Püsküllü belamı bu derde salan
Var bir yaşanmamışlık sanki özünde
Benim içimde ukde kalan
Sen sevda mısın yoksa yalan dolan
Püsküllü belamı bu derde salan
Var bir yaşanmamışlık sanki özünde
Benim içimde ukde kalan

Sen kapımı çal ansızın gir içeri
Her zaman başımın üstünde senin yerin
Dilim tutulur sözcükler uçarsa aklımdan
Benim güzel misafirim sen hep hoşgeldin

Sen sevda mısın yoksa yalan dolan
Püsküllü belamı bu derde salan
Var bir yaşanmamışlık sanki özünde
Benim içimde ukde kalan
Sen sevda mısın yoksa yalan dolan
Püsküllü belamı bu derde salan
Var bir yaşanmamışlık sanki özünde
Benim içimde ukde kalan

Biriktirdiğim aşkları hiçe sayan",mutlu,sen sevda mısın umut yok bir ışık yok gözlerinde ben hala bekleyenim olsun ateş yok sıcaklık yok ellerinde ben yanarım aşkın sağolsun sen kapımı çal ansızın gir içeri zaman başımın üstünde senin yerin dilim tutulur sözcükler uçarsa aklımdan benim güzel misafirim sen hoşgeldin sen sevda mısın yoksa yalan dolan püsküllü belamı derde salan var bir yaşanmamışlık özünde benim içimde ukde kalan sen sevda mısın yoksa yalan dolan püsküllü belamı derde salan var bir yaşanmamışlık özünde benim içimde ukde kalan sen kapımı çal ansızın gir içeri zaman başımın üstünde senin yerin dilim tutulur sözcükler uçarsa aklımdan benim güzel misafirim sen hoşgeldin sen sevda mısın yoksa yalan dolan püsküllü belamı derde salan var bir yaşanmamışlık özünde benim içimde ukde kalan sen sevda mısın yoksa yalan dolan püsküllü belamı derde salan var bir yaşanmamışlık özünde benim içimde ukde kalan biriktirdiğim aşkları hiçe sayan
Ziynet Sali,Herkes Evine,"1 ContributorHerkes Evine LyricsDön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Zoruma gidiyor bu acı
Aşkının en güzel tarafı
Anladım farklısın
Sen gidince
Tadımı bozuyor bu acı
Özgür olmanın tasası
Kesmedi beni, ne boş
Sen gidince
Bu yüzden geç kalıp
Yeterince güzelince sana ben kalamadım
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Zoruma gidiyor bu acı
Aşkının en güzel tarafı
Anladım farklısın
Sen gidince
Bu yüzden geç kalıp
Yeterince güzelince sana ben kalamadım
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Çekinme bu buluşmadan
Herkes evine
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine
Dön artık çok uzatmadan
Ne varsa kalbini kıran
Çekinme bu buluşmadan
Herkes evine",mutlu,contributorherkes evine dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine zoruma gidiyor acı aşkının güzel tarafı anladım farklısın sen gidince tadımı bozuyor acı özgür olmanın tasası kesmedi beni boş sen gidince yüzden geç kalıp yeterince güzelince sana ben kalamadım dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine zoruma gidiyor acı aşkının güzel tarafı anladım farklısın sen gidince yüzden geç kalıp yeterince güzelince sana ben kalamadım dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine çekinme buluşmadan herkes evine dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine dön artık uzatmadan varsa kalbini kıran çekinme buluşmadan herkes evine
Oğuzhan Koç,Aşk Beni Yendi,"2 ContributorsAşk Beni Yendi Lyrics

Bakma hiç güzelim bana ben kaldıramam
Aşka mı düşelim kendimi kandıramam
Terliyor ellerim, boğazım düğümlendi
Aldı verdi aşk beni yendi

Neşesini kederini gördüm, bilemedim belki de kördüm daha önce
Seni gördüğümde anladım ben aşk nedir

Yanar mı yansın gönlüm
Kim bilir kaç kere söndürdüm
Bana güldüğünde buz dağım erir

Aldı verdi aşk beni yendi
Kaldı tadı kalbimde

Bakma hiç güzelim bana ben kaldıramam
Aşka mı düşelim kendimi kandıramam
Terliyor ellerim, boğazım düğümlendi
Aldı verdi, aşk beni yendi

Bakma hiç güzelim bana ben kaldıramam
Aşka mı düşelim kendimi kandıramam
Terliyor ellerim, boğazım düğümlendi
Aldı verdi, aşk beni yendi

Yanar mı yansın gönlüm
Kim bilir kaç kere söndürdüm
Bana güldüğünde buz dağım erir

Aldı verdi aşk beni yendi
Kaldı tadı kalbimde

Bakma hiç güzelim bana ben kaldıramam
Aşka mı düşelim kendimi kandıramam
Terliyor ellerim, boğazım düğümlendi
Aldı verdi, aşk beni yendi
Bakma hiç güzelim bana ben kaldıramam
Aşka mı düşelim kendimi kandıramam
Terliyor ellerim, boğazım düğümlendi
Aldı verdi, aşk beni yendi",mutlu,aşk beni yendi bakma güzelim bana ben kaldıramam aşka düşelim kendimi kandıramam terliyor ellerim boğazım düğümlendi aldı verdi aşk beni yendi neşesini kederini gördüm bilemedim kördüm önce seni gördüğümde anladım ben aşk nedir yanar yansın gönlüm bilir kaç kere söndürdüm bana güldüğünde buz dağım erir aldı verdi aşk beni yendi kaldı tadı kalbimde bakma güzelim bana ben kaldıramam aşka düşelim kendimi kandıramam terliyor ellerim boğazım düğümlendi aldı verdi aşk beni yendi bakma güzelim bana ben kaldıramam aşka düşelim kendimi kandıramam terliyor ellerim boğazım düğümlendi aldı verdi aşk beni yendi yanar yansın gönlüm bilir kaç kere söndürdüm bana güldüğünde buz dağım erir aldı verdi aşk beni yendi kaldı tadı kalbimde bakma güzelim bana ben kaldıramam aşka düşelim kendimi kandıramam terliyor ellerim boğazım düğümlendi aldı verdi aşk beni yendi bakma güzelim bana ben kaldıramam aşka düşelim kendimi kandıramam terliyor ellerim boğazım düğümlendi aldı verdi aşk beni yendi
Tuğba Yurt,Masal,"4 ContributorsMasal LyricsBaşının altında yabancı omuz
Kaderin yastığına teslim ruhumuz
Güvendiğim ne varsa hep yıkık dökük
Dün çoktuk bugün az yarın yokmuşuz
İki kalbin cezası aynı değilken
Kırılanın rızası alınmamışken
Her halinden gibi zamansız erken
İzini bırakıyor masal biterken
Kirpikten damla düşmeden dön
Sevabı sana yazılsın
Ayrılık ölümden farklı değilken
Sen hala nasıl hayattasın",mutlu,masal başının altında yabancı omuz kaderin yastığına teslim ruhumuz güvendiğim varsa yıkık dökük dün çoktuk bugün yarın yokmuşuz i̇ki kalbin cezası aynı değilken kırılanın rızası alınmamışken halinden zamansız erken i̇zini bırakıyor masal biterken kirpikten damla düşmeden dön sevabı sana yazılsın ayrılık ölümden farklı değilken sen hala hayattasın
Murat Boz,Maximum,"3 ContributorsMaximum LyricsKaç zamandır rüya görmez oldum
Çoktandır yalnız yatar oldum
Senden beri, gittiğin günden beri
Tablaları külle doldurur oldum
Kaç zamandır seni görmez oldum
Soruları kendim yanıtlar oldum
Dünden beri, gittiğin günden beri
Aynalara boş gözle bakar oldum
Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum
Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum
Kaç zamandır rüya görmez oldum
Çoktandır yalnız yatar oldum
Senden beri, gittiğin günden beri
Tablaları külle doldurur oldum
Kaç zamandır seni görmez oldum
Soruları kendim yanıtlar oldum
Dünden beri, gittiğin günden beri
Aynalara boş gözle bakar oldum
Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum
Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum

Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum
Sana aşkım minimum, minimum, minimum
Sana öfkem maximum, maximum, maximum",mutlu,maximum kaç zamandır rüya görmez oldum çoktandır yalnız yatar oldum senden beri gittiğin günden beri tablaları külle doldurur oldum kaç zamandır seni görmez oldum soruları kendim yanıtlar oldum dünden beri gittiğin günden beri aynalara boş gözle bakar oldum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum kaç zamandır rüya görmez oldum çoktandır yalnız yatar oldum senden beri gittiğin günden beri tablaları külle doldurur oldum kaç zamandır seni görmez oldum soruları kendim yanıtlar oldum dünden beri gittiğin günden beri aynalara boş gözle bakar oldum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum sana aşkım minimum minimum minimum sana öfkem maximum maximum maximum
Aydilge,Yangın Var,"2 ContributorsYangın Var LyricsYeter, yeter hüzün keder
Neden, bütün bu sevmeler yanar döner?
Geçer, zamanla aşk geçer
Seni teğet geçer, beni yakar geçer
Güldün geçtin böyle mi sevdin sen?
Yanıyorum!
Yangın var, yıkılıyor dünyam
Aşkından darmadumansam
Of aman, aşkına isyan!
Ah, geceleri yaksam
Yangın var, yıkılıyor dünyam
Aşkından darmadumansam
Of aman, aşkına isyan!
Ah sen de benimle yan
Solar zamanla aşk solar
Seni hemen yorar, beni sarpa sarar
Güldün geçtin, böyle mi sevdin sen?
Yanıyorum!
Yangın Var, yıkılıyor dünyam
Aşkından darmadumansam
Of aman, aşkına isyan!
Ah geceleri yaksam
Yangın Var yıkılıyor dünyam
Aşkından darmadumansam
Of aman aşkına isyan!
Ah sen de benimle yan

Geldin geçtin böyle mi sevdin sen?
Yanıyorum
Yangın Var, yıkılıyor dünyam
Aşkından darmadumansam
Of aman, aşkına isyan!
Ah geceleri yaksam
Yangın Var yıkılıyor dünyam
Aşkından darmadumansam
Of aman aşkına isyan!
Ah yıkılıyor dünyam
Yangın var!",mutlu,yangın var yeter yeter hüzün keder bütün sevmeler yanar döner geçer zamanla aşk geçer seni teğet geçer beni yakar geçer güldün geçtin böyle mi sevdin sen yanıyorum yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah geceleri yaksam yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah sen benimle yan solar zamanla aşk solar seni hemen yorar beni sarpa sarar güldün geçtin böyle mi sevdin sen yanıyorum yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah geceleri yaksam yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah sen benimle yan geldin geçtin böyle mi sevdin sen yanıyorum yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah geceleri yaksam yangın var yıkılıyor dünyam aşkından darmadumansam of aman aşkına isyan ah yıkılıyor dünyam yangın var
