title,artist,lyrics,mood
Hani Benim Gençliğim,Ahmet Kaya,"Hani benim sevincim ner'de;Bilyelerim, topacım Kiraz ağacında yırtılan gömleğim? Çaldılar çocukluğumu habersiz Penceresiz kaldım anne Penceresiz kaldım anne Uçurtmam tel örgülere takıldı Hani benim gençliğim anne? Penceresiz kaldım anne Penceresiz kaldım anne Uçurtmam tellere takıldı Hani benim gençliğim ner'de? Ne varsa buğusu genzi yakan Ekmek gibi, aşk gibi Ah, ne varsa güzellikten yana Bölüştüm, büyümüştüm Bu ne yaman çelişki anne Bu ne yaman çelişki anne Kurtlar sofrasına düştüm Hani benim gençliğim anne? Bu ne yaman çelişki anne Bu ne yaman çelişki anne Kurtlar sofrasına düştüm Hani benim gençliğim ner'de?  Hani benim sevincim ner'de;Akvaryumum, kanaryam Üstüne titrediğim kaktüs çiçeği? Aldılar kitaplarımı sorgusuz Duvarlar konuşmuyor anne Duvarlar konuşmuyor anne Açık kalmıyor hiçbir kapı Hani benim gençliğim anne? Duvarlar konuşmuyor anne Duvarlar konuşmuyor anne Açık kalmıyor hiçbir kapı Hani benim gençliğim ner'de? Yağmurları biriktir anne Yağmurları biriktir anne""Çağ yangınında"" tutuştum Hani benim gençliğim anne?",üzgün
Hep Sonradan,Ahmet Kaya,"Ne sen Leyla'sın, ne de ben Mecnun Ne sen yorgun, ne de ben yorgun Kederli bir akşam içmişiz Sarhoşuz, hepsi bu Hep sonradan gelir aklım başıma Hep sonradan, sonradan Hep sonradan gelir aklım başıma Hep sonradan Hep sonradan gelir aklıma Hep sonradan, sonradan Hep sonradan gelir aklım başıma Hep sonradan(x2)Ne sen bulutsun, ne de ben yağmur Ne sen mağrur, ne de ben mağrur Hüzünlü bir akşam susmuşuz Durgunuz, hepsi bu Hep sonradan gelir aklım başıma Hep sonradan, sonradan Hep sonradan gelir aklım başıma Hep sonradan  Hep sonradan gelir aklıma Hep sonradan, sonradan Hep sonradan gelir aklım başıma Hep sonradan",üzgün
Ağladıkça,Ahmet Kaya,"Dağlarda öfkeli başım Serhat'ta hep akşam oluyor Nasipsiz kıştan mı, yağmurdan mı yoksa aşktan mı? Ağladıkça, ağladıkça dağlarımız yeşerecek Görecek, göreceksin Ağladıkça, ağladıkça Geceyi tutacağız görecek, göreceksin Ağladıkça, ağladıkça dağlarımız yeşerecek Görecek, göreceksin İlk yazda bitti telaşım Alnımda hep kavga duruyor Vakitsiz hırstan mı, bahardan mı yoksa aşktan mı? Ağladıkça, ağladıkça bozkırlar yeşerecek Görecek, göreceksin Ağladıkça, ağladıkça Güneşi tutacağız görecek, göreceksin Ağladıkça, ağladıkça Güneşi tutacağız görecek, göreceksin  Ağladıkça, ağladıkça dağlarımız yeşerecek Görecek, göreceksin",üzgün
Şafak Türküsü,Ahmet Kaya,"Beni burada arama, arama anne Kapıda adımı, adımı sorma Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Kaç zamandır yüzüm tıraşlı Gözlerim şafak bekledim Uzarken ellerim kulağım kirişte Ölümü özledim anne Yaşamak isterken delice Ah verebilseydim keşke Yüreği avucunda koşan her bir anneye Tepeden tırnağa oğla Ve kıza kesmiş bir ülkeyi armağan  Düşlerimle sınırsız, diretmişliğimle genç Şaşkınlığımla çocuk devrederken sırdaşıma Usulca açılıverdi yanağında tomurcuk Pir Sultan'ı düşün anne, Şeyh Bedrettin'ni, Börklüce'yi İnsanları düşün anne Düşün ki yüreğin sallansın Düşün ki o an güneşli güzel günlere inanan Mutlu bir Yusufcuk havalansın Beni burada arama, arama anne Kapıda adımı, adımı sorma Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Saçlarına yıldız düşmüş Koparım anne, ağlama Yani benim güzel annem Ala şafağında ülkemin yıldız uçurmak varken Oturup yıldızlar içinde kendi buruk kanımı içtim Ne garip duygu şu ölmek Öptüğüm kızlar geliyor aklıma Bir açıklaması vardır elbet giderken darağacına Geride, masa üstünde boynu bükük kaldı kağıt kalem Bağışla beni güzel annem Oğul tadında bir mektup yazamadım diye kızma bana Elleri değsin istemedim Gözleri değsin istemedim Ağlayıp koklayacaktın Belki bir ömür taşıyacaktın koynunda Yaşamak ağrısı asıldı boynuma Oysa türkü tadında yaşamak isterdim Ölmek ne garip şey anne Bayram kartlarının tutsaklığından aşırıp bayramı Sedef katmal bir kutu içinde vermek isterdim çocukların eline Sonra, sonra benim güzel annem Damdan düşer gibi vurulmak isterdim bir kıza Gecenin kıyısında durmuşum kefenin cebi yok Koynuma yıldız doldurmuşum Koşun çocuklar koşun sabah üstüme üstüme geliyor Kısacası güzel annem Bir şişeyi dürürken ürpermek yok Gülmek, umut etmek, özlemek Ya da mektup beklemek gözleri yatırıp ıraklara Ölmek ne garip şey anne Artık duvarları kanatırcasına tırnağımla Şaşkın mutlu şiirler yazamayacağım Mutlak bir inançla gözlerimi tavana çakamı'cam Baba olamı'cam örneğin Toprak olmak ne garip şey anne Ölmek ne garip şey anne Uçurumlar ki sende büyür Dağlar ki sende göçer Ben bayrak derim, çiçek derim Çam diplerine açmış kanatlarını kozalak derim Gül yanaklı çocuğa benzer Yine de oğlunu yitirmek kim bilir ne garip şey anne Her kavgada ölen benim Bayrak tutan çarpışan Her kadın toprağı tırnaklayarak doğurur beni Özlem benim, kavga benim, aşk benim Bekle beni anne Bir sabah çıkagelirim Bir sabah anne bir sabah Acını süpürmek için açtığında kapını Bir sabah anne bir sabah Acını süpürmek için açtığında kapını Adı başka sesi başka Nice yaşıtım koynunda çiçekler Çiçekler içinde bir ülke getirirler",üzgün
Alla Beni Pulla Beni,Barış Manço,"Alla beni, pulla beni Al koynuna yâr Gözüm senden başkasını görmez oldu yâr Gönlüm senden bir şey ister, nasıl desem yâr? Alla beni, pulla beni Al koynuna yâr Senin için dağları deler, yol açarım yâr Senin için denizleri kuruturum yâr Senin için gök kubbeyi yerlere çalarım yâr Canımı iste canım bile sana kurban yâr Dağlar, taşlar, uçan kuşlar senin olsun yâr Deniz, derya, gökler hep yerinde dursun yâr Gönlüm senden bir şey ister, nasıl desem yâr? Alla beni pulla beni Al koynuna yâr Saçlarına yıldızlardan taç yapayım yâr Bir nefeste güneşleri söndüreyim yâr Çıra gibi uğurunda ben yanayım yâr Canımı iste canım bile sana kurban yâr Yıldızlar yerinde güzel, bırak dursun yâr Saçlarımı ellerinde okşa yeter yâr Gönlüm senden bir şey ister, nasıl desem yâr? Alla beni pulla beni Al koynuna yâr Rüzgar olup ince beline sarılayım yâr Çimen olup ayağına serileyim yâr Sürme olup gözlerine sürüleyim yâr Canımı iste canım bile sana kurban yâr  Alla beni pulla beni Al koynuna yâr Gözüm senden başkasını görmez oldu yâr Gönlüm senden bir şey ister nasıl desem yâr Alla beni pulla beni Al koynuna yâr Alla beni pulla beni Al koynuna yâr Gözüm senden başkasını görmez oldu yâr Gönlüm senden bir şey ister nasıl desem yâr Alla beni pulla beni Al koynuna yâr",üzgün
Duygularım,Azer Bülbül,"Yanımda olamasan da Sesini duyamasam da Sen benden gitmiş olsan da Seviyorum hala seviyorum Özlüyorum seni Bitiremedim bendeki seni seni Seninle hayatı yaşamak isterken Yalancı hayata katlandım derken Sonumu bir mezar taşı beklerken Neden acep, neden acı, neden ihanet ? Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Seninle hayatı yaşamak isterken Yalancı hayata katlandım derken Sonumu bir mezar taşı beklerken Neden acep, neden acı, neden ihanet ? Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Bendeki kalp sende olsa taşıyamazsın  Seninle hayatı yaşamak isterken Yalancı hayata katlandım derken Sonumu bir mezar taşı beklerken Neden acı, neden ihanet ? Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Bendeki kalp sende olsa taşıyamazsın Seninle hayatı yaşamak isterken Yalancı hayata katlandım derken Sonumu bir mezar taşı beklerken Neden acep, neden acı, neden ihanet ? Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın Duygularım darmadağın anlayamazsın Bendeki kalp sende olsa taşıyamazsın1",üzgün
Dokunmayın Çok Fenayım,Azer Bülbül,Baykuş tünemiş binaya ey Vala çeyrek aydır ayaktayam Ben bende değilem bugün Kendimde değilem bugun ey Vala güzel saçların sarısık Anan baban öle Ne küs durursun ey Ne barışık Vala başım yine çok karışık Başım yine çok karışık Ben bende değilem bugün Kendimde değilem bugun eyy Ey çağırmışlar ne gideyim Kim iyi kim kötü ne bileyim Ah ana sana doyamadım Bilmem kaç gündür uyumadım Kendimde değilem bugün  1,üzgün
Bir Ay Doğar,Cengiz Özkan,"Bir ay doğar ilk akşamdan geceden Neydem, neydem geceden Şavkı vurur pencereden, bacadan Dağlar kışımış, yolcum üşümüş, nasıl edem ben? Uykusuz mu kaldın dünkü geceden? Neydem, neydem geceden Uyan uyan yâr sinene sar beni Dağlar kışımış, yolcum üşümüş, nasıl edem ben? Uyan uyan yâr sinene sar beni Dağlar harâmı, açma yaramı, perişânım ben Yüce dağ başından aşırdın beni Neydem, neydem yâr beni Tükenmez dertlere düşürdün beni Dağlar kışımış, yolcum üşümüş, nasıl edem ben? Madem soysuz göynün bende yoğudu Neydem, neydem yoğudu  Niye doğru yoldan şaşırdın beni? Dağlar kışımış, yolcum üşümüş, perişânım ben Niye doğru yoldan şaşırdın beni? Dağlar harâmı, açma yaramı, nasıl edem ben? Aşağıdan gelir, eli boş değil Neydem, neydem boş değil Söylerim, söylerim ""Göynüm hoş değil""Dağlar kışımış, yolcum üşümüş, nasıl edem ben? Bir güzeli bir çirkine vermişler Neydem neydem, vermişler Baş yastığı gendisine eş değil Dağlar kışımış, yolcum üşümüş, nasıl edem ben? Baş yastığı gendisine eş değil Dağlar harâmı, açma yaramı, perişânım ben",üzgün
Hangimiz Sevmedik,Müslüm Gürses,Hangimiz sevmedik çılgınlar gibi? Hangimiz bir kuytu köşe başında Bir vefasız için yol gözlemedik mi? Hangimiz düşmedik kara sevdaya? Hangimiz sevmedik çılgınlar gibi? Hangimiz bir kuytu köşe başında Bir vefasız için yol gözlemedik mi? Herkesten bir anı saklar bu yollar Herkesin acısı sevgisi kadar Güzelmiş çirkinmiş ne farkeder ki? Deli gibi sevmek ruhumuzda var Deli gibi sevmek ruhumuzda var Aşığın gözü kör kulağı sağır Doğruyu yanlışı ondan görmedik Yakıldı yıkıldı yinede sevdi Ah o vefasızlar kıymet bilmediler Aşığın gözü kör kulağı sağır Doğruyu yanlışı ondan görmedik Yakıldı yıkıldı yinede sevdi Ah o vefasızlar kıymet bilmediler Herkesten bir anı saklar bu yollar Herkesin acısı sevgisi kadar Güzelmiş çirkinmiş ne farkeder ki? Deli gibi sevmek ruhumuzda var Deli gibi sevmek ruhumuzda var  1,üzgün
Fikrimin İnce Gülü,Sema,Kalbimin şen bülbülü O gün ki gördüm seni Yaktın ah yaktın beni Gördüğüm günden beri Olmuşum inan deli O gün ki gördüm seni Yaktın ah yaktın beni Ateşli dudakların Gamzeli yanakların O gün ki gördüm seni Yaktın ahh yaktın beni,üzgün
Seni Sevmediğim Yalan,İbrahim Tatlıses,"Yalan, yalan, yalan Seni sevmediğim yalan Kızgın bir anımda söyledim, yalan Seni sevmediğim yalan Yalan, yalan, ah yalan Seni sevmediğim yalan Kızgın bir anımda söyledim, yalan Seni sevmediğim yalan Sen yoksan her şey eksik Sen varsan her şey tamam Sen yoksan her şey eksik Sen varsan her şey tamam Neyim varsa alıp götürsünler benden Paylaşmaya hazırım, inan Yalnız seni paylaşamam Yalan, yalan, ah yalan Seni sevmediğim yalan Kızgın bir anımda söyledim, yalan Seni sevmediğim yalan  Yalan, yalan, yalan Seni unuttuğum yalan Çocuksu bir sevinç başlar içimde Seni gördüğüm zaman Yalan, yalan, ah yalan Seni unuttuğum, yalan Çocuksu bir sevinç başlar içimde Seni gördüğüm zaman Sen yoksan her şey eksik Sen varsan her şey tamam Sen yoksan her şey eksik Sen varsan her şey tamam Neyim varsa alıp götürsünler benden Paylaşmaya hazırım, inan, inan, inan Yalnız seni paylaşamam Yalan, yalan, ah yalan Seni sevmediğim yalan Kızgın bir anımda söyledim, yalan Seni sevmediğim yalan Yalan!",üzgün
Nayino,Karmate,"Gece gökte yildizlar da dinleyun dertlerumi Gece gökte yildizlar da dinleyun dertlerumi Yârde iman kalmadi oy nayino Bilmeyi hâllarumi Bilmeyi hâllarumi Nayinoma kurbanis oy Yârde iman kalmadi oy nayino Bilmeyi hâllarumi Bilmeyi hâllarumi Nayinoma kurbanis oy Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani Derdumi yazacağum da komar yapraklarina Derdumi yazacağum da komar yapraklarina Okurken aksun yaşlar da nayino Düşsun yanaklaruna Düşsun yanaklaruna Nayinoma kurbanis oy Okurken aksun yaşlar da nayino Düşsun yanaklaruna Düşsun yanaklaruna Nayinoma kurbanis oy  Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani Sevdaluk ince maraz da yakayi canumuzi Sevdaluk ince maraz da yakayi canumuzi Vazgeçersak eyersada nayino Döksünler kanumuzi Döksünler kanumuzi Nayinoma kurbanis oy Vazgeçersak eyersada nayino Döksünler kanumuzi Döksünler kanumuzi Nayinoma kurbanis oy Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani Nayinoma nayino, nayinoma kurbani Çatma kaşlaruni da al vereyim bu cani",üzgün
Bu Gece Karakolluk Olabilirim,Azer Bülbül,"Daralır yüreğim, canım çok sıkılıyor Ey gene gergin saatlerim başladı Bir deli fırtına kopuyor içimde Ey gene çılgın arzularım başladı Bir deli fırtına kopuyor içimde Ey gene çılgın arzularım başladı Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece karakolluk olabilirim Yar ben belanın ta kendisiyim Ey bu gece karakolluk olabilirim Yar ben belanın ta kendisiyim Yağmurlarda ıslanmak, rüzgarlarda savrulmak Serserice sokaklarda dolaşmak istiyorum bu gece Yağmurlarda ıslanmak, rüzgarlarda savrulmak Serserice sokaklarda dolaşmak istiyorum bu gece Bu gece yandım bu gece, bu gece Yandım bu gece... Yağmurlarda ıslanmak, rüzgarlarda savrulmak Serserice sokaklarda dolaşmak istiyorum Bir deli fırtına kopuyor beynimde Ey gene çılgın arzularım başladı Bir deli fırtına kopuyor içimde Ey gene gergin saatlerim başladı Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece karakolluk olabilirim Yar ben belanın ta kendisiyim Ey bu gece karakolluk olabilirim Yar ben belanın ta kendisiyim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim Bu gece kapına dayanabilirim Bağırıp aşkımı haykırabilirim",üzgün
Göklerde Kartal Gibiydim,Volkan Konak,Göklerde kartal gibiydim Kanatlarımdan vuruldum Mor çiçekli dal gibiydin Bahar vaktinde kırıldın Mor çiçekli dal gibiydin Bahar vaktinde kırıldın Yar olmadı bana devir Her günüm bir başka zehir Mapushanelerde demir Parmaklıklara sarıldım Mapushanelerde demir Parmaklıklara sarıldım Kimseye soramadım Doyunca saramadığım Görmeden duramadığım Nazlı yarimden ayrıldım Görmeden duramadığım Nazlı yarimden ayrıldım Yar olmadı bana devir Her günüm bir başka zehir Mapushanelerde demir Parmaklıklara sarıldım Mapushanelerde demir Parmaklıklara sarıldım  Ekmeğim bahtımdan katı Bahtım düşmanımdan kötü Böyle kepaze hayatı Sürüklemektеn yoruldum Böyle kepaze hayatı Sürüklеmekten yoruldum Yar olmadı bana devir Her günüm bir başka zehir Mapushanelerde demir Parmaklıklara sarıldım Mapushanelerde demir Parmaklıklara sarıldım,üzgün
Yarim Yarim,Volkan Konak,"Dalıp çıktım ateşlere küllere Giyin demir çarık gel ardım sıra Dağlara,yollara, çöllere Diyardan diyara bir yol sor beni yarim yarim Bul beni yarim yarim Gör beni yarim yarim Ah beni beni2x Sen kalem ol ben de kağıt Yaz beni yarim yarim Çiz beni yarim yarim Çöz beni yarim yarim Ah beni beni Kurban olam kalem tutan ellere Dertli dertli name çalan tellere Yanık yanık türkü diyen dillere Dağlara ,yollara ,çöllere Diyardan diyara bir yol sor beni yarim yarim Bul beni yarim yarim Gör beni yarim yarim Ah beni beni  Sen kalem ol ben de kağıt Yaz beni yarim yarim Çiz beni yarim yarim Çöz beni yarim yarim Ah beni beni",üzgün
