artist,song_title,lyrics_clean,mood
Sezen Aksu,Akşam Güneşi,batarken ufuktan bir akşam güneşi bırakıp gitmiştin beni sen sevgilim yıllar yılı oldu hâlâ dönmedin geri ne olur ne olur ne olur dön bana bak batıyor yine akşam güneşi akşam güneşi aşkımı dillerde gözümü yollarda kimsesiz bıraktın şu gurbet ellerde sanki kara bulut seni saklıyor benden yine gölgelendi akşam güneşi akşam güneşi akşam güneşi,
Sezen Aksu,Alâturka,gece inerken söner perde perde gurubun rengi derken başlar semada saltanat ben ağlarım gülerken mehtap uyanmış seyrü sefada yıldızlar siyaha yanmış bende fasıl fasıl dert ah o ne zalim bir yarmış x2 çalsın sazlar çalsın bu gece alâturka başlasın vur usta tamburun tellerine hanendeler çağlasın penceremden geçer sandallarla sevdalılar hercai çınlar gökkubbede aşkın şahane saz semai kader böyleymiş,
Sezen Aksu,Aldatıldık,bize neler neler öğrettiler sevdalar üstüne aldatıldık aldatıldık sevda böyle değil ne masallar ninniler söylediler dünya üstüne dünya böyle değil ufalana ufalana kaç kuşak eridik bu yollarda kimimiz yerle yeksan kimimiz zor ayakta kolu kanadı kırık kuşlar gibiyiz ayrı diyarlarda bize saadet nasip şimdi uçuk rüyalarda,
Sezen Aksu,Alev Alev,ellerin ne kadar sıcak tıpkı ateş gibi bakışların ne kadar yumuşak tıpkı doğan güneş gibi alev alev yanıyor sevginle kalbimin her köşesi yüreğim çırpınan bir kuş sanki sanki bir aşk bestesi fısıldıyor kulağıma gözlerin ne kadar güzel bak gözlerimin içine o en en tatlı sesinle bana güzel bir şey söyle öyle öyle mutluyum ki ah delicesine bir çölde yapayalnız kaybolmuş koşuyorum sesine,
Sezen Aksu,Ali,namluna dayanır yola dalarsın duruşun bakışın yaman be ali boşuna tetiği ne kurcalarsın var daha ateşe zaman be ali yıllanmış bir çınar pusuluk yerin ner'deyse gelecek beklediklerin var iki atlı canı kederin desene işleri duman be ali onu sen büyüt de söğüt boyunca kendini ellere versin o gonca sözüme kanmadın vurdu uyunca köylündü gözünü yuman be ali geldiler beklenen çiftler ormana duruyor iki genç ne hoş yan yana bir kurşun kadına bir de çobana i̇nlesin orman be yıllarca ali görünce uzanmış yâr kucağına boynunu dolamış zülfü bağına kurşunu kahpeye atacağına kendine çevirdin aman be ali kendine çevirdin aman be ali ali,
Sezen Aksu,Allahaısmarladık,yıllar yılı seviştik de neden mutlu olmadık aşkımıza aşk değil yıllarca yalan kattık sana son bir sözüm var o da allaha ısmarladık bir dünya ki temelinin her taşında yalan var dışı parlak içi bomboş yeminler neye yarar daldığımız rüyadan yıllardır uyanmadık değil iki sevgili dost bile olamadık düğümlendi kalbimde gömüldü ilk hıçkırık lalalayla laylayla lalalay lalalaylaylalala lalalay lalalaylayla lalalay lalaylayla lalalay lalalilaylalalaah lalali lalalilalalala lalali lalalilalalalaah lalali lalaylaylaah lalali lalalilalalala lalali lalalilalalalaah lalali lalalilalalalaah lalali lalaylayla mmhmmh mmhmmh,
Sezen Aksu,Allahaşkına,1 contributorallahaşkına lyrics sen istedin diye değil seni sevdiğim için sen aldattın diye değil ben inandığım için karşılık beklemeden sitem mitem etmeden razı olup herşeye kapris mapris demeden sabah akşam gece gündüz hiç şikayet etmeden kulun oldum kölen oldum hiç başına kakmadan of yeter artık bıktım senden çek git allah aşkına palavraya doydum artık atma allah aşkına palavraya doydum artık atma allahaşkına gözlеrim görmezdi asla senden başka birini düşüncеmde bile yaşadığım senin sevgindi dır dır vır vır etmeden herşeye rağmen küsmeden çapkınlıklarına bile sesimi çıkarmadan aylar yıllar günler geçti rengim ruhsarım soldu değer miydi senin için ah gençliğim mahvoldu laylalaylay laylalaylay laylararararara laylalaylay laylalaylay laylararalaylayla,
Sezen Aksu,Allah’ın Varsa,yaz bitti yine mevsim sonbahar kim bekler kim çeker bu kadar sofrandaki kırıntılar kadar bile mi olamadım allah'ın varsa bu akşam adres defterinde s harfinin olduğu yerde bulup ya çiz ya yak adımı ya da sessizlik koy yerine allahın varsa vicdansız rüyama şarkıma şiirime girdin sanki kendi bahçelerin misali arsız be vefasız sana martılar getirdim kanatlarım var beyaz ama acımıyor yüreğim elde sazlar sarı yazlar oğlanlar kızlar yudumlanır salkım gölgelerinde nağmeler nazlar şahit yıldızlar doğur dedin bana kurabiye gibi çocuklar gittiğin o gece ardından i̇ki kadın uyanıp ağlayacak biri annen diğeri ben benim biraz ahım kalacak oğlanlar kızlar,
Sezen Aksu,Anadilim Aşk,o bir yalnız o bir kendine has önlenemez durdurulamaz o hepimizin efendisi elinden kalbi olanlar kurtulamaz o bir özgür o bir kahraman dün bugün yarın her zaman o bir kural yıkıcı yasak delici onun adı aşk gerisi yalan yan sevmediğine yan yazık onca zaman isyan isyan oyalama kendini sen bittin teslim bayrağını çektin ey kalbim aşkına sağlık anadilimi bana sen öğrettin çabalama boşuna hiç mümkünü yok sen onu ıslah edemezsin o bir bohem o bir isyankar onu ehlileştiremezsin provası yok antresi ani yazıp bozup temize çekemezsin o bir kaçık o bir utanmaz asla kontrol edemezsin,
Sezen Aksu,Anlasana,çok tatsız sıkıcı bir günün sonuydu müzmin bir kentli kadın bunalımıydı her şey aynı sanki fotokopi derken kalbim pera'da vuruldu ben o an aktım sana tadını tuzunu tattım tekinsiz caddelerde geceyi gündüze kattım art arda ışıklandı parklar meydanlar aydınlandı ağzına dolanayım sevda yeniden ayaklandı yanıyorum anlasana ölüyorum anlasana beni bu yasaktan uzaktan çekip alsana sen öyle süssüz çabasız ve adsız kendinleyken saplandın ruhuma dedim vurgun bu i̇lk görüşte aşk bütün kalbimle minnettarım şansıma,
Sezen Aksu,“Arkadaş” Şarkısını Duyunca,çok zamandan beri eski dostlar birbirini aramaz oldu aramıza hayat girdi yıllar bize yaramaz oldu ağlarım ağlarım geceler boyunca anılar dalga dalga sahilime vurunca bir selâm gelince selâ verilince ağlarım arkadaş şarkısını duyunca bir yanağı okşayan kader diğerine bin tokat vurdu bildiğim kadar değilmiş meğer dünya bize hep oyun kurdu x2,
Sezen Aksu,Arka Sokaklar,doğrusu ben seni pek fazla tanımıyorum i̇çgüdüsel olarak kendimi savunuyorum dolayısıyla bilemiyorum x2 arka sokaklarda neler oluyor sen beni istersen çok rahat kandırabilirsin kendini şahane bir şey sandırabilirsin zorlama güzelim zorlama kendiliğinden olmalı davul dediğin davulcusuyla müsemma horlama eziğiyiz doğustan sende erkeklik sır bende kadınlık muamma x4 x6,
Sezen Aksu,Aşk,bak yağıyor yağmur her damlada gözlerin bak esiyor rüzgar rüzgar dediğim de sensin bak sımsıcak güneş sevginle ısındı içim sen vazgeçemediğim yanımda bile hasretimsin ​güneş doğarken çiçek açarken ve hayat geçerken ben seninleyim bir gün olur ayrılık kapımı çalarsa senle yaşanan zaman yeter bana,
Sezen Aksu,Aşka Şükrederim,her gece yatağımda aklımda neler neler ne kadar çok acı var allahım berbat yine haberler ne olur kuvvet ver anlamam için ipucu ne ilim yetiyor ne film yine mi ters açıda mars'la jüpiter x2 doluya koy boşa koy sabahlara kadar kan ter yut hapları oku kitapları geldik gidiyoruz bîhaber ben bu yüzden aşka şükrederim o beni onarır hep bir tek o ayırmıyor insanı insandan ölene dek ağlarım seve seve i̇nlerim seve seve yeter ki aşk olsun katlanırım her şeye seve seve,
Sezen Aksu,Aşkları da Vururlar,gel bana kalbini göster ne olur sen değilsin bu sudaki aksin hadi gel kader değil bu hepimize öğretilmiş öfkeler ne olur teslim olma gel bu kızgın bu kalp kıran eller bir zaman bebektiler hadi gel aslını göster suretin çok zalim çok mu üzdüler seni sahiplenme senin değil bu dikenler sözlerin hançer yareler gülüm sür gözlerinin namlusuna sür beni aşktan olsun ölümüm yareler açar yareler gülüm aşkları da vururlar şarkıya şiir olur adanır sonsuz anısına kanayan sevdanın eyvah şiirler azalmış günümüz perişan yanıyor içimizdeki koskoca orman aman,
Sezen Aksu,Aşktan Ne Haber,aç kalbini ben geldim sıkı sıkı tut bırakma zar zor yıktım duvarlarımı kıymetini bil uzatma bak yaldızlarımı döktüm açtım kapılarımı gir içeri gör parklarımı bahçelerimi anla ben büyük harflerden ürktüm ben anlamam toptan tüfekten ben anlamam taştan yürekten anlamam akıntıya kürekten bunları boş ver ne haber aşktan gözlerinin arkasını sözlerinin alt yazısını kalp diline çevirdim çoktan okudum özgürce acısını,
Sezen Aksu,Avcı,sen beni üzemezsin zaten çok üzgünüm nereye baksam acı ben avım sen avcı vur bakalım sen beni sezemezsin dilimi ezemezsin nereye baksam acı nereye baksam acı kim yolcu kim hancı dur bakalım… beni öldüremezsin sesim sazım sözüm var benim ben derken ben herkesim,
Sezen Aksu,Ayar,ya bizdensin ya da onlardan hadi bu köprüyü geç bakalım ya dostsun ya da düşman hadi sıfatını seç bakalım ya siyahsın ya da beyaz ya hep ya hiç öyle yok biraz ya hasım ya hısım a çileli başım sen kınalı kuzu ben süzme kaz x2 ooo yandık desene tam topun ağzında durduk desene bi' o yana bi' bu yana savururlar öte yana söz ile uslanmayana ayar yapalım benim hâlâ umudum var böyle diyor sûfi mazhar ben mazhar'dan yanayım kaynaşırız azar azar olmasa da tek tabancayız ölüm var yalnızlık ne yazar daha karpuz keseceydik vallahi billahi hep nazar burası agora meyhanesi değil açıkhava tımarhanesi beşer bu şaşar çizmeyi aşar varsa bi' matbu bahanesi,
Sezen Aksu,Ayışığı,buralarda artık parlamıyor ayışığı güneşimize kar yağdı gidenlerden haber yok yasaksız aşklar yabancı aşina tuzak savaşlar üzerimize örtülünce lacivert akşamlar sen seç artık sen seç artık ooy oy ooy oy ne şarkı ne ayışığı ooy oy ooy oy ne ölüm kalım ne gençlik çağım darmadağın bir atımlık umudum kaldı,
Sezen Aksu,Aykırı Çiçek,bu şehrin sokaklarında taşlarında eskidi gençliğim kaldırımlar arasında aykırı açan çiçektim geçtim bazen hüzzam makamında geçtim 9&8 ağır roman şimdi sade kahve kıvamında her şey eksik her şey tamam kim bilebilir kimin halini dil söylemez yüreğin harbini i̇ç hisseder hakikat sırrını ağırdan al yargını yar aman sesimi suya bıraktım nefesimi semaya i̇çine her şeyi kattım şarkılar benzer duaya sana benzemiyorum hiç benzetmeye çalışma ya olduğum gibi sev ya küs bi daha da barışma,
Sezen Aksu,Aynalar,haksýzlýk bu geçen yýllar gönlüm çok genç bedenim yaþlý haksýzlýk bu eskiyen yüz bana hâlâ çok uzak güz aynalar durun yalancý aynalar deðiþmeyin biraz daha zaman verin bu ben deðilim bu yabancý haksýzlýk bu vakit çok erken aþka hâlâ doymadým ben haksýzlýk bu,
Sezen Aksu,Ayrılıklar Bitmez,gün ağrınca kalkamaz birden o yattığı sert kuru yerinden bir baş ağrısı ense kökünden acır kendine başlar yeniden her kadehte bin isyan şahlanır bir isim bir aşk daha silinir yine gönlünden her tüketilmiş sarhoş geceden tek şey anımsar eski günlerden bir çift mahsun göz uysal hüzünlü biraz kaderci ürkek çekingen her an koşardı canı yürekte ne zaman isteyip arasa en uzak yerlerden ve ayrılıklar bitmez öğütür ve gölgeler siner ömrüne kaçar kendinden yıllardan beri hep o hayali taşır sırtında bir yük misali sarar pişmanlık şöyle inceden yorgun utançlı başlar yeniden bir isim bir aşk daha silinir yaralı gönlünden,
Sezen Aksu,Baba Evi,baba evindeyim bugün tepemde dolunay nasıl doluyum birikmiş yalnızlıklar ayın umrunda mı cama vurmuş şavkı adamın biri de tutturmuş damar bir şarkı belki artık kavuşmak hayâl belki beni çoktan sildin öldürsen iflah olmaz geçmiyor senden ümidim canımdan can gitti gel hasretin eritti anladım ki çok muhabbet ayrılık getirdi çalsan bir akşam üstü kapımı yeniden ben de sana tavşan kanı bir çay demlesem desem ki pişmanım perişanım sen de bir büyüklük göstersen de hoş görsen belki sarışırız aniden belki tanışırız yeniden uzun uzun konuşup sonra anlaşırız tan ağarırken x2,
Sezen Aksu,Bahane,bahaneydi bu rüzgâr güneş bal ve kehribar bahaneydi buzdan kanat erimezse kırılacak canım dostum sırdaşım aynaya baktım yüzünü unuttukça gelmiş bulundum kalmış bulundum bu dağ bur'da durdukça bahaneydi,
Sezen Aksu,Ballı,dün gece ner'deydin sorsam söyler miydin kimbilir kimleydin soralım o zaman bekle allah bekle bir sürü laf dinle gülesim geldi yine gülelim o zaman kalbimde dövmeler gözümde gölgeler defolu ilişkiler görmezden gelmeler sineye çekmeler dilimde sövmeler of nereye kadar hem zaten hafiften bozuluyordum zaten baştan karaya vurmuştum zaten kaptırmış gidiyordum zaten kalk bak kapı tam şuradan hadi yaylan buradan git bak gördün deli dön geri seni ballı seni mm seni ballı seni asıl sorun şur'da ne işin var bur'da i̇stersen hiç durma kara tam şuradan her şey bi' deneyim ben de bi' dene'yim seni bir göndereyim denerim o zaman,
Sezen Aksu,Bazen,yanardağ mı içimdeki alevlenir söner nedir bu öfkeli saplantılar gelir gelir gider bazen bir duygu beni gökyüzüne çeker bazen bir tutku gelir toprakla bir eder bu karmaşanın adı nedir düğümlenir çözdükçe yalanlar mı gizlidir yoksa gerçeklerin içinde bazen bu duygu beni gökyüzüne çeker bu karanlık sonsuzluğun yolu ner'de kim bilir zaman derin bir kuyu sanki kaybolasım gelir,
Sezen Aksu,Bazen [2002 Versiyon],1 contributorbazen lyrics yanardağ mı içimdeki alevlenir söner nedir bu öfkeli saplantılar gelir gelir gider bazen bir duygu beni gökyüzüne çeker bazen bir tutku gelir toprakla bir eder bu karmaşanın adı nedir düğümlenir çözdükçe yalanlar mı gizlidir yoksa gerçeklerin içinde bazen bu duygu beni gökyüzüne çeker nedir bu öfkeli saplantılar gelir gelir gidеr bu karanlık sonsuzluğun yolu ner'de kim bilir zaman derin bir kuyu sanki kaybolasım gеlir,
Sezen Aksu,Begonvil,begonvil boy vermiştir şimdi yasemen basmıştır bodrum'u kokusu geldi rüzgârın bir kelebek öptü boynumu sen şimdi gerdanını maviye göğsünü bir yelkenliye gönlünü ilk önüne çıkan yaz seferine bağlamışsındır ah vurunca dibine sakız rakısının biraz da ağlamışsındır x2 benim yerime de sev bekletme hayatı bu kadarına razıysan yaşa gitsin kaç kişiyiz savunan sevdayı gözüme ilk damlası düştü gelecek sonbaharın yeni bir sayfanın öncüsü bakalım ne hediyesi zamanın,
Sezen Aksu,Bekle,bekle… dönüşü vardır zor sürgünlerin de bekle…hatırla bizi dar günlerinde telli turnalar gibi çifte kumrular gibi sarışıp bir sedir ağacı gölgesinde baharı selamlayıp i̇ki çift kelamlayıp gamsız günler geceler öncesinde biz gülleri severdik dikenleriyle koklardık kanayana dek ellerimiz gül dikensiz olur mu ah etmezdik bekle… bekle… hiç pes eder miyiz bir nasihat gibi bu sancılı hasret miadını doldurup biter bir gün karanlık aydınlığa kavuşur elbet siz o gün bayramı kutlamayı görün sıcacık bir haziran sabahında isıtıp sol yanını yatağında,
Sezen Aksu,Bekleyelim de Görelim,bekleyelim de görelim bakalım önce kim kimi unutacak dilersen anıları yakalım o zaman yerine anı yapılacak ama bana kalırsa yazık olur kaybetmek kolay kazanmak zor yine de sen bilirsin buyur seç teklif var ısrar yok haydi yine arı gibi çalış gönlüm bitip başlamaya alış onun daha çok yolu var sen yine zamanla yarış birileri yolda kalır birileri yol alır kanun bu her insan kaderiyle gelir dünyaya malum bu,
Sezen Aksu,Belalım,uçurum uçurum gözlerine baktığım sensin prangalarca boynuma taktığım sensin dağ gölleri gibi gibi hasret çektiğim her gece uyku diye yattığım sensin yanarım yanarım tutuşur yanarım kavurur ateşim seni de beni de belalım ah belalım gün değmemiş ormanlarda yittiğim sensin ömrüme ömür diye kattığım sensin deli deli boranlarda aç denizlerde teninin tuzunu canım tattığım sensin damga damga göğsüme vurduğum sensin öfke dolu şehirlerde bulduğum sensin yer nerede gök nerede ben neredeyim diye diye sınırlara geldiğim sensin,
Sezen Aksu,Belki de Aşk Lazım Değildir,öpeyim de geçsin mi acıyor mu çok kesilen yer bilirim ah ne hüzündür terim tuzundur bi' izin ver tanıdım yarandan aynı silahtı beni vuran affettim vurulurken o daha fazla öldü benden belki de aşk lazım değildir sıcacık bir el yeter kimse ölmez aşktan maşktan öyle gelir öyle gelir ben sana bir dal olurum sen arı ol ben bal olurum benim sende yüreğim var bir bakarsın yâr olurum tanıdım duruşundan güçlendirir ya öldürmeyen ve içini dışına bir daha da hiç bildirmeyen,
Sezen Aksu,Ben Annemi İsterim,gelinum ağlaur yaşli yaşli kitmam der auhhyh sallar başin ağlama kelinum oğlum oy kınan kutli olsun kelinum pinduğun at tehli olsun dağda belimde odun beni ne hâle kodun tarlada ırgat avrat hanede hazır hatun bir uşak göbeğimde altısı eteğimde yedi bitirdi beni anandaki o çene x2 dünyanın gailesi yetmezmiş gibi bir de el ayak çekilince sen bitersin dibimde uy çalsın kemençeler de ben bir horon tepeyim çatlasın kaynımgiller bari kurtlarım dökeyim fındığı ben toplarım kırması sana düşer uy ellerin iyisi geh geh gerinip şişer üşüdüm senden baba ocağı gözümde tüter uy adaletsiz dünya gücün hep bize mi yeter bir bezden bebem vardı bohçamda hayallerim kızlığım yarım kaldı ben annemi isterim x4,
Sezen Aksu,Ben de Yoluma Giderim,peki nasıl istersen öyle olsun tutamam tutamam gideni belli ki kırmak istemiyorsun kalbimi kıyamam bir de kıyamam iyi mi giden gitmiştir zaten kesemem kesemem yolunu hani satın alınan sevgiye alıştırılmış bi' çocuğun her oyuncağa çabucak doyumu ben de yoluma giderim ezdirmem kendimi ama gezdirmem de gönlümü gider acımı çekerim beni özle isterim beni çok özle üzül üzül bi' süre en azından ince bi' kabuk bağlasın azıcık eşitlik sağlasın giden gitmiştir zaten kesemem kesemem yolunu hani satın alınan sevgiye alıştırılmış bi' çocuğun her oyuncağa çabucak doyumu,
Sezen Aksu,Ben Dul Bir Kadınım,ben dul bir kadınım öyle her istediğimle beraber olamam canımın istediğince gezip tozamam bir kız arkadaşımla bi' yere gitsem bi' erkeğe kazara gülerek selam versem ya da biraz fazla giyinip süslensem dedikodu olur çünkü dul bir kadınım bir gün yeniden birisini beğenirsem beraber olursak bir kaç kez yan yana görülürsem dedikodu çarkları o an hızla çalışır bakalım alır mı seni söylentisi dolaşır erkeğin ailesi adam akıllı telaşlanır ortalık bir karışır çünkü dul bir kadınım bin türlü baskıyı omuzlarımda taşırım haklı ya da haksızmışım önemi yok bir kere boşanmışım benim de duygularım varmış bunlardan kime ne seçme şansım yok boyun eğdim kadere bana ben değil kurallar sahip çıkar saygınlığım bağlıdır daima bir erkeğe mmhmmh aahaah,
Sezen Aksu,Ben Her Bahar Aşık Olurum,damarlarımda yine aşk var gözlerim yine bir manalı başladı güneşli yağmurlar islandı umudumun saçları kırılan dallar gibiyim ben her bahar dirilirim gizli bir kaynaktır içim kendime bir yol bulurum ben her bahar âşık olurum rüzgâr olur yağmur olurum filizlenir anılarda gururum taşar içimden ruhum gönlümde sönen ateşin küllerini savururum kalbimdeki acelenin peşinde ben kaybolurum,
Sezen Aksu,Beni Kategorize Etme,beni kategorize etme benle oynama yaftayı yapıştırıp bana isim koyma karikatürleştirme beni ilahlaştırma tabulaştırma sakın tapulaştırma ben seni öyle sevdim öyle sevdim ben seni öyle sevdim böyle mi sevdim matematikleştirme beni çarpma bölme toplama çıkartma sakın beni hesaplaştırma mekanikleştirme beni otomatikleştirme yarıştırma sakın onla bunla karşılaştırma sıkıştırıp tıkıştırma beni depolaştırma duygularım yok oldu yüreğimi nasırlaştırma beni demoralize etme depolitize etme her işten kaçar oldum illegalize etme böyle mi sevdim böyle mi sevdim,
Sezen Aksu,Benim Karanlık Yanım,hiçbiriniz bilmezsiniz görmezsiniz karanlık yanımı kaç suçtan cezadan sanık saklandığımı çok eski tarihlerden bütün insanlık günahlarını i̇şlemişim hâlâ işliyorum kopara kopara canımı geldim defalarca gittim defalarca kaç bahçe kuruttum bilmem yüzleşmedim yıllarca kıydım defalarca kırdım defalarca kaç kalbi yordum kaç aşkı vurdum ama mahvoldum unutulunca bak gözüme gör kendini koyu kopkoyu asfalt rengini söyle neyi arıyorsun hangi tartıya göre dengini cennet de cehennem de melek de şeytan da bende hadi bul bakalım göster bana farkımız ner'de,
Sezen Aksu,Beni Unutma,bir gün daha yaşandı ve bitti küçük sevinçleri ve küçük kederleriyle herhangi bir gündü çok önemli değildi seni düşündüğüm birkaç andan başka bilirim herkes payına düşeni yaşar ve her yeni günde değişir hep bir şeyler sen de kendi payından bir hatıra seç ne olur o ben olayım beni unutma beni unutma unutma beni unutma bilirsin unutulmak dokunur ya her insana sen de kendi payından bir hatıra seç ve o ben olayım unutma beni unutma bilir misin seni gerçekten sevdim sevdiğim daha birçok şeyin arasında bir tek seni seçtim hatıralar arasında sebep diye bir küçük mutluluk,
