artist,song_title,lyrics,mood
Levent Yüksel,Zalim,"8 ContributorsZalim Lyrics

Ten beyaz saç kızıl güller; kahkahasında bülbüller
Kirpiği kapkara tüller ben o afete vuruldum
Göz değil nakış mübarek
Bendeki aşk değil ibadet
Elleri sevdi nihayet
Ben ebedi saadetten kovuldum
Gölgemi aldım yanıma vurdum hasretin yoluna
Benzedim bahtsız Mecnun'a
Yüce Mevla'ya sığındım

Seyret perişan halimi, bende akşam olmakta
Dostlar, seyrelmiş beyhude lafla vakit dolmakta
Avare oldum, serseri oldum terk-i diyarda
Zalim, senin Allah'ın yok mu?
Yârin gözü yüksekte benim bir kuru aşkım var
Düşmanlarım nispette, be hey kara vicdanlı yar
Yağdı saçlarıma genç yaşımda lapa lapa kar
Zalim senin Allah'ın yok!

Göz değil nakış mübarek
Bendeki aşk değil ibadet
Elleri sevdi nihayet
Ben ebedi saadetten kovuldum
Gölgemi aldım yanıma vurdum hasretin yoluna
Benzedim bahtsız Mecnun'a
Yüce Mevla'ya sığındım

Seyret perişan halimi, bende akşam olmakta
Dostlar, seyrelmiş beyhude lafla vakit dolmakta
Avare oldum, serseri oldum terk-i diyarda
Zalim, senin Allah'ın yok mu?
Yârin gözü yüksekte benim bir kuru aşkım var
Düşmanlarım nispette, be hey kara vicdanlı yar
Yağdı saçlarıma genç yaşımda lapa lapa kar
Zalim!
Seyret perişan halimi, bende akşam olmakta
Dostlar, seyrelmiş beyhude lafla vakit dolmakta
Avare oldum, serseri oldum terk-i diyarda
Zalim, senin Allah'ın yok mu?
Yârin gözü yüksekte benim bir kuru aşkım var
Düşmanlarım nispette, be hey kara vicdanlı yar
Yağdı saçlarıma genç yaşımda lapa lapa kar
Zalim senin Allah'ın yok!",üzgün
Feridun Düzağaç,Beni Bırakma,"2 ContributorsBeni Bırakma Lyrics
Belki güneş bir gün ikimiz için doğar
Belki korkuları hayallerimiz boğar
O masal günü gelinceye kadar
Susuyorum, susuyorum
Susadıkça yüzün düşer aklıma
Korkar oldum düşlemekten
Adını anarım çoğalır sesim
Konuşmaktan, düşünmekten, özlemekten

Gel bak bir elimde gökyüzü var hala
Ötekinde kayıp giden yıldızlar, la la
Korkular da benim umutlar da
Beni bırakma
Beni bırakma
Gel bak bir elimde gökyüzü var hala
Ötekinde kayıp giden yıldızlar, la la la la
Korkular da benim umutlar da
Beni bırakma
Beni bırakma

Kimse kimsenin her şeyi olamazmış
Di'li geçmişten tek yaramsın sen
Sensiz kimse mi, kimsesiz miyim bilmem
Hiç bilmek istemem
Hatta düşünmem

Gel bak bir elimde gökyüzü var hala
Ötekinde kayıp giden yıldızlar, la la la la
Korkular da benim umutlar da
Beni bırakma
Beni bırakma
Gel bak bir elimde gökyüzü var hala
Ötekinde kayıp giden yıldızlar, la la la la
Korkular da benim umutlar da
Beni bırakma
Beni bırakma
Gel bak bir elimde gökyüzü var hala
Ötekinde kayıp giden yıldızlar, la la la la
Korkular da benim umutlar da
Beni bırakma
Beni bırakma",üzgün
Şebnem Ferah,Sil Baştan,"7 ContributorsSil Baştan Lyrics

Gücün var mı sevgilim
Derin sularda inci tanesi aramaya?
Cesaretin kaldıysa
Hâlâ benle aşktan konuşmaya
Söyle canım sevgilim
Hayat bize oyun oynuyor olabilir mi?
Yorgun gibi bir hâlin var
Duyguların karışık olabilir mi?

Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi unutmak

Sanki bugün son günmüş gibi
Dolu dolu yaşamak istiyorum ben
Her ne çıkarsa yoluma
Selam verip yürümek istiyorum ben

Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi unutmak


Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi unutmak

Unutmak, unutmak, unutmak, unutmak, unutmak, unutmak",üzgün
Halil Sezai,İsyan,"4 Contributorsİsyan Lyrics

Benim bu derdim
Ne yağan yağmurdan
Ne yalancı sonbahardan
Ne bomboş sokaklardan
Kırılmış her yanım
Kaybolur zaman saçlarında
Gözlerim sokaklarda
Sebebi isyan aşkım

İçim yanar, içim kanar da
İsyan
Geriye bir avuç yalan
Beni bu derde sen attın da
Gittin ya kafam hep duman


Benim bu derdim
Ne yağan yağmurdan
Ne yalancı sonbahardan
Ne bomboş sokaklardan
Kırılmış her yanım
Kaybolur zaman saçlarında
Gözlerim sokaklarda
Sebebi isyan aşkım

İçim yanar, içim kanar da
İsyan
Geriye bir avuç yalan
Beni bu derde sen attın da
Gittin ya kafam hep duman
İçim yanar, içim kanar da
İsyan
Geriye bir avuç yalan
Beni bu derde sen attın da
Gittin ya kafam hep duman

İçim yanar, içim kanar da
İsyan
Geriye bir avuç yalan
Beni bu derde sen attın da
Gittin ya kafam hep duman",üzgün
Yüksek Sadakat,Belki Üstümüzden Bir Kuş Geçer,"7 ContributorsBelki Üstümüzden Bir Kuş Geçer Lyrics

Gül renginde gün doğarken
Boğaz'dan gemiler usulca geçerken
Gel, çıkalım bu şehirden
Ağaçlar, gökyüzü ve toprak uyurken

Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında

Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiçbir yüz güzel değil senin yüzünden
Haydi kalk, gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatları senin ellerinden
Ellerinden

Gül renginde gün doğarken
Boğaz'dan gemiler usulca geçerken
Gel, çıkalım bu şehirden
Ağaçlar, gökyüzü ve toprak uyurken

Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında

Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiçbir yüz güzel değil senin yüzünden
Haydi kalk, gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatları senin ellerinden

Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatları senin ellerinden
Ellerinden",üzgün
Nilüfer,Başıma Gelenler,"3 ContributorsBaşıma Gelenler LyricsYıkıldım artık ben
Sevemem yeniden
Başıma gelenler hep senden
Başıma gelenler hep senin yüzünden
Ne istedin benim sevgimden
Başıma gelenler hep senin yüzünden
Ne istedin benim sevgimden
Yıkıldım artık ben sevemem yeniden
Başıma gelenler hep senden
Yıkıldım artık ben sevemem yeniden
Başıma gelenler hep senden
Boşuna arama bulamazsın beni
Ne yapsan bir daha yanında
Boşuna arama bulamazsın beni
Ne yapsan bir daha yanında
Yıkıldım artık ben sevemem yeniden
Başıma gelenler hep senden
Yıkıldım artık ben sevemem yeniden
Başıma gelenler hep senden
O-h hey
O-h hey
O-h hey
O-h hey
Kaçardın hep benden
Şimdi peşimdesin
Söyle neden değiştin böyle birden
Kaçardın hep benden
Şimdi…",üzgün
Sibel Can,Kanasın,"2 ContributorsKanasın LyricsBu kaçinci mevsim
Bu kaçinci bahar
Bu sahte gulusun ne alami var
Yuzume bakmaya cesaretin yok mu
Yoksa sakladigin bir seyler mi var
Bu kaçinci mevsim
Bu kaçinci bahar
Bu sahte gulusun ne alami var
Yuzume bakmaya cesaretin yok mu
Yoksa sakladigin bir seyler mi var
Ben gunahsiz gelin
Sen sahte asik
Vefasiz sozlere inanmam artik
Bu kaçinci bela yalan ayrilik
Istesende, yok desende buna gucum yok artik
Kanasin Kanasin
Birakin yaram kanasin
Kaderimse boyle sevmek
Birakin annam aglasin
Buna dayanmaya gucum yok
Sevmisim ama sevenim yok
Sensiz kaldim gecelerde beni kimler anlasin

Kanasin Kanasin
Birakin yaram kanasin
Sensiz kaldim gecelerde beni kimler anlasin
Buna dayanmaya gucum yok
Sevmisim ama sevenim yok
Sensiz kaldim gecelerde beni kimler anlasin",üzgün
Candan Erçetin,Yalan,"2 ContributorsYalan LyricsGeri döndüren gördünmü geçmişi
Boşa soldurdun o nazlı gençliği
Bir avuç toprak için yor kendini
Dünyada ölümden başkası yalan
Yalan başkası yalan
Zaman kendine benzetmez herkesi
Hesapsız açar baharlar pembeyi
Açmadığın dalda sözün geçermi
Dünyada ölümden başkası yalan
Yalan başkası yalan
Sitem etme haberi yok dağların
Gözlerini ellerinle bağladın
Faydası yok geç kalınmış figanın
Dünyada ölümden başkası yalan
Yalan başkası yalan",üzgün
Müslüm Gürses,Affet,"11 ContributorsAffet LyricsThis song is from the album called “Ask Tesadüfleri Sever”, and came out April 15, 2006. The song is originally taken from the heavy metal/hard rock band called “Rainbow”, and the original title of the song… Read More 

Eğer seni kırdıysam darıl bana
Ama bir gün beni ararsan bak ruhuna
Birden gecem tutarsa güneşi çevir bana
Sevgilim bağışla biraz zor olsa da

Affet beni akşamüstü gölgem uzarken
Öğleden sonra affet ne zaman istersen
Affet beni gece vakti ay doğmuş süzülürken
Sabaha kalmadan affet tam ayrıldık derken

Çünkü sen çölüme yağmur oldun
Sen, geceme gündüz oldun
Sen, canıma yoldaş oldun
Sen, kışıma yorgan oldun

Eğer seni kırdıysam darıl bana
Ama bir gün beni ararsan bak ruhuna
Birden gecem tutarsa güneşi çevir bana
Sevgilim bağışla biraz zor olsa da

Affet beni akşamüstü gölgem uzarken
Sabaha kalmadan affet tam ayrıldık derken

Çünkü sen çölüme yağmur oldun
Sen, geceme gündüz oldun
Sen, canıma yoldaş oldun
Sen, kışıma yorgan oldun
Çünkü sen çölüme yağmur oldun
Sen, geceme gündüz oldun
Sen, canıma yoldaş oldun
Sen, kışıma yorgan oldun",üzgün
Zerrin Özer,Kıyamam,"2 ContributorsKıyamam LyricsNe yükseklerde gözüm var
Ne para pulda
Bir tek sen mühimsin aşk, sen hayatımda
Tahammülüm yok gözlerinde bir damla yaşa, kıyamam
Ne hasret biter bu yolda
Ne sevdam sana
Bir tek sen emirsin aşk, emir hayatımda
İtirazım yok, ateş bu; değmesin sana, kıyamam
Sen, başıma gelen en az, en çok hatalarım
Ah sen, her şeye rağmen bana sevap, günahlarım
Sen, geceler boyu buram buram yandığım
Ah sen, kokuna hasret uykularla dolaştığım
Ne yükseklerde gözüm var
Ne para pulda
Bir tek sen mühimsin aşk, sen hayatımda
Tahammülüm yok gözlerinde bir damla yaşa, kıyamam
Sen, başıma gelen en az, en çok hatalarım
Ah sen, her şeye rağmen bana sevap, günahlarım
Sen, geceler boyu buram buram yandığım
Ah sen, kokuna hasret uykularla dolaştığım
Sen, başıma gelen en az, en çok hatalarım
Ah sen, her şeye rağmen bana sevap, günahlarım
Sen, geceler boyu buram buram yandığım
Ah sen, kokuna hasret uykularla dolaştığım

Sen, başıma gelen en az, en çok hatalarım
Ah sen, her şeye rağmen bana sevap, günahlarım
Sen, geceler boyu buram buram yandığım
Ah sen, kokuna hasret uykularla dolaştığım
Sen, başıma gelen en az, en çok hatalarım
Ah sen, her şeye rağmen bana sevap, günahlarım",üzgün
Ebru Gündeş,Çingenem,"2 ContributorsÇingenem Lyrics

Kapkara gözlerle, yaktın sineden
Aşkınla tutuşup, yandım Çingene'm
Ruhumu koparıp, aldın bedenden
Uğruna sararıp, soldum Çingene'm
Karanlık gecede, ateşin başında
Takınır zilleri, oynar Çingene'm
Savurur saçlarını, esen rüzgarla
Bir deli sevdaya, salar Çingene'm

Çingene'm, Çingene'm
Kara gözlü çingenem
Aşkınla tutuşup, yandım Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Uğruna sararıp soldum Çingene'm

Kapkara gözlerle, yaktın sinеden
Aşkınla tutuşup, yandım Çingene'm
Ruhumu koparıp, aldın bеdenden
Uğruna sararıp, soldum Çingene'm
Karanlık gecede, ateşin başında
Takınır zilleri, oynar Çingene'm
Savurur saçlarını, esen rüzgarla
Bir deli sevdaya, salar Çingene'm

Çingene'm, Çingene'm
Kara gözlü Çingene'm
Aşkınla tutuşup, yandım Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Uğruna sararıp soldum Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Aşkınla tutuşup, yandım Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Uğruna sararıp soldum Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Aşkınla tutuşup, yandım Çingene'm
Çingene'm, Çingene'm
Kara gözlü Çingene'm
Uğruna sararıp soldum Çingene'm",üzgün
İbrahim Tatlıses,Mavi Mavi,"6 ContributorsMavi Mavi Lyrics

Yıllardır bir özlemdi, yanıp durdu bağrımda
Yıllardır bir özlemdi, yanıp durdu bağrımda
Tam ümidi kesmişken onu gördüm karşımda

Mavi mavi, masmavi, gözleri boncuk mavi
Bir gördüm, âşık oldum, bu gelen kimin yâri?
Mavi mavi, masmavi, gözleri boncuk mavi
Bir gördüm, âşık oldum, bu gelen kimin yâri?

Hayat denen bu yolda yürürken adım adım
Hayat denen bu yolda yürürken adım adım
Mutluluğu ararken birden ona rastladım

Mavi mavi, masmavi, gözleri boncuk mavi
Bir gördüm, âşık oldum, bu gelen kimin yâri?
Mavi mavi, masmavi, gözleri boncuk mavi
Bir gördüm, âşık oldum, bu gelen kimin yâri?",üzgün
